nform,cuest_id,time,parcela,cultivo,nombre_parcela,provparcela_cod,munparcela_cod,superf_parcela_has,superficie_parcela,descanso_sino,temporary_crop,month_siembra,year_siembra,mixto_sino,since_siembra,month_harvest,year_harvest,age,female_head,transporte,tiempo_cant,tiempo_um
793,H1193,2,11,PASTO,LAS 200,Monte Cristi,Pepillo Salcedo,12.575998,200,No,Permanente,No recuerda,1963,No,1963,,,72,0,Motor,5,Minutos
788,H1197,2,11,GUINEO,LAS 100,Monte Cristi,CastaÒuelas,6.2879992,100,No,Permanente,Septiembre,2016,No,2016,,,66,0,AutÛmovil,20,Minutos
216,H1200,2,11,MANGO,HACIENDA PEREZ,Peravia,Nizao,2.5151997,40,No,Permanente,Marzo,2016,S√≠,2016,,,50,1,AutÛmovil,30,Minutos
216,H1200,2,11,LIMON,HACIENDA PEREZ,Peravia,Nizao,2.5151997,40,No,Permanente,Marzo,2016,S√≠,2016,,,50,1,AutÛmovil,30,Minutos
216,H1200,2,11,AGUACATE,HACIENDA PEREZ,Peravia,Nizao,2.5151997,40,No,Permanente,Marzo,2016,S√≠,2016,,,50,1,AutÛmovil,30,Minutos
671,H1201,2,11,MANGO,H. RUIZ,Peravia,BanÌ,6.9167991,110,No,Permanente,Abril,2011,S√≠,2011,,,70,0,AutÛmovil,45,Minutos
671,H1201,2,11,LIMON,H. RUIZ,Peravia,BanÌ,6.9167991,110,No,Permanente,Abril,2011,S√≠,2011,,,70,0,AutÛmovil,45,Minutos
671,H1201,2,11,PASTO,H. RUIZ,Peravia,BanÌ,6.9167991,110,No,Permanente,Enero,9999,No,9999,,,70,0,AutÛmovil,45,Minutos
671,H1201,2,11,PL√ÅTANO,H. RUIZ,Peravia,BanÌ,6.9167991,110,No,Permanente,Abril,2011,S√≠,2011,,,70,0,AutÛmovil,45,Minutos
670,H1213,2,11,MANGO,PROYECTO FUNDACION,Peravia,BanÌ,1.6977597,27,No,Permanente,Abril,2007,No,2007,,,64,0,A pie,5,Minutos
663,H1214,2,11,AGUACATE,LA 11,Peravia,BanÌ,6.099359,97,No,Permanente,Febrero,2015,No,2015,,,46,0,Motor,40,Minutos
663,H1214,2,11,MANGO,LA 11,Peravia,BanÌ,6.099359,97,No,Permanente,Julio,2018,No,2016,,,46,0,Motor,40,Minutos
667,H1216,2,11,PL√ÅTANO,PROYECTO P. O.,Peravia,BanÌ,5.5963192,89,No,Permanente,Marzo,2017,No,2017,,,58,0,Motor,10,Minutos
667,H1216,2,11,CEBOLLA,PROYECTO P. O.,Peravia,BanÌ,5.5963192,89,No,Temporero,Septiembre,2019,No,2019,Diciembre,2019,58,0,Motor,10,Minutos
678,H1217,2,11,AGUACATE,LA ALTAGRACIA,Peravia,Nizao,4.5273595,72,No,Permanente,Enero,2019,S√≠,2019,,,64,0,AutÛmovil,15,Minutos
678,H1217,2,11,MANGO,LA ALTAGRACIA,Peravia,Nizao,4.5273595,72,No,Permanente,Enero,2015,S√≠,2015,,,64,0,AutÛmovil,15,Minutos
678,H1217,2,11,PL√ÅTANO,LA ALTAGRACIA,Peravia,Nizao,4.5273595,72,No,Permanente,Enero,2019,S√≠,2019,,,64,0,AutÛmovil,15,Minutos
221,H1218,2,11,PL√ÅTANO,CARDERA III,Peravia,BanÌ,5.1875992,82.5,No,Permanente,Abril,2019,No,2019,,,49,0,Motor,10,Minutos
269,H1221,2,11,MAIZ GRANO/MAZORCA,ACISI,Independencia,Mella,4.2129593,67,No,Temporero,Febrero,2019,No,1975,Junio,2019,71,0,A pie,15,Minutos
269,H1221,2,11,AUYAMA,ACISI,Independencia,Mella,4.2129593,67,No,Temporero,Noviembre,2019,S√≠,1975,0,0,71,0,A pie,15,Minutos
269,H1221,2,11,MAIZ GRANO/MAZORCA,ACISI,Independencia,Mella,4.2129593,67,No,Temporero,Noviembre,2019,S√≠,1975,0,0,71,0,A pie,15,Minutos
203,H1230,2,11,HABICHUELA NEGRA,AC 128,Independencia,DuvergÈ,2.5151997,40,No,Temporero,Diciembre,2019,No,2000,0,0,77,1,Motor,20,Minutos
203,H1230,2,11,AGUACATE,AC 128,Independencia,DuvergÈ,2.5151997,40,No,Permanente,Junio,2017,No,2017,,,77,1,Motor,20,Minutos
