,ID,patca,geometry,tStart,tEnd,tBreak,numObs
8,372311,0,"POLYGON ((-71.56868900000001 18.347497, -71.568724 18.347692, -71.568821 18.347867, -71.56896999999999 18.348005, -71.56915499999999 18.348092, -71.56936 18.34812, -71.569564 18.348086, -71.569748 18.347994, -71.569892 18.347852, -71.56998299999999 18.347675, -71.570013 18.347479, -71.56997800000001 18.347284, -71.569881 18.347109, -71.569732 18.346971, -71.569547 18.346884, -71.56934200000001 18.346856, -71.569138 18.34689, -71.56895400000001 18.346982, -71.56881 18.347124, -71.568719 18.347301, -71.56868900000001 18.347497))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,150
9,372611,1,"POLYGON ((-70.98750800000001 18.692206, -70.98809900000001 18.692722, -70.988651 18.692561, -70.988985 18.692417, -70.98887999999999 18.692104, -70.988829 18.691741, -70.988784 18.691458, -70.98831300000001 18.691378, -70.987816 18.691814, -70.98750800000001 18.692206))",2011-01-01 15:01:56.470,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,126
10,372712,0,"POLYGON ((-70.752663 18.633905, -70.752697 18.634101, -70.752793 18.634276, -70.752942 18.634414, -70.75312700000001 18.634503, -70.753333 18.634532, -70.75353699999999 18.634499, -70.753721 18.634407, -70.753867 18.634266, -70.75395899999999 18.634089, -70.75399 18.633893, -70.753955 18.633698, -70.75385900000001 18.633523, -70.753711 18.633384, -70.753525 18.633296, -70.75332 18.633267, -70.75311499999999 18.6333, -70.752931 18.633391, -70.752786 18.633533, -70.75269299999999 18.63371, -70.752663 18.633905))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,115
11,372711,0,"POLYGON ((-70.757349 18.627055, -70.757383 18.62725, -70.757479 18.627426, -70.757627 18.627564, -70.757813 18.627652, -70.75801800000001 18.627681, -70.758223 18.627648, -70.75840700000001 18.627557, -70.75855199999999 18.627416, -70.758645 18.627238, -70.758675 18.627043, -70.758641 18.626848, -70.758545 18.626672, -70.758397 18.626534, -70.758211 18.626446, -70.758005 18.626416, -70.757801 18.626449, -70.757617 18.626541, -70.75747200000001 18.626682, -70.757379 18.626859, -70.757349 18.627055))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,123
12,372811,1,"POLYGON ((-70.89133 18.773375, -70.89136499999999 18.77357, -70.89146100000001 18.773745, -70.89161 18.773883, -70.891796 18.773971, -70.89200099999999 18.774, -70.892206 18.773967, -70.89239000000001 18.773876, -70.892535 18.773734, -70.892628 18.773557, -70.892658 18.773361, -70.892623 18.773166, -70.892527 18.772991, -70.89237799999999 18.772853, -70.89219199999999 18.772765, -70.891987 18.772736, -70.89178200000001 18.772769, -70.891598 18.77286, -70.891453 18.773002, -70.89136000000001 18.773179, -70.89133 18.773375))",2011-02-02 15:02:09.630,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,132
13,375511,0,"POLYGON ((-71.77480799999999 18.425179, -71.774843 18.425373, -71.77494 18.425548, -71.77508899999999 18.425686, -71.77527499999999 18.425773, -71.77548 18.425801, -71.775684 18.425767, -71.77586700000001 18.425675, -71.77601199999999 18.425533, -71.77610300000001 18.425355, -71.776132 18.425159, -71.77609699999999 18.424965, -71.776 18.42479, -71.775851 18.424652, -71.775665 18.424565, -71.77546 18.424537, -71.775256 18.424571, -71.77507300000001 18.424663, -71.774928 18.424805, -71.77483700000001 18.424983, -71.77480799999999 18.425179))",2011-01-01 15:01:56.470,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,113
14,376711,0,"POLYGON ((-71.782437 18.426633, -71.782473 18.426828, -71.78257000000001 18.427003, -71.782718 18.42714, -71.782904 18.427228, -71.78310999999999 18.427255, -71.783314 18.427222, -71.783497 18.427129, -71.783641 18.426987, -71.783732 18.42681, -71.783761 18.426614, -71.783726 18.426419, -71.783629 18.426244, -71.78348 18.426107, -71.783294 18.42602, -71.783089 18.425992, -71.78288499999999 18.426026, -71.782702 18.426118, -71.78255799999999 18.42626, -71.782467 18.426437, -71.782437 18.426633))",2011-01-01 15:01:56.470,2013-07-01 15:04:16.990,2013-07-09 15:10:45.220,24
14,376711,0,"POLYGON ((-71.782437 18.426633, -71.782473 18.426828, -71.78257000000001 18.427003, -71.782718 18.42714, -71.782904 18.427228, -71.78310999999999 18.427255, -71.783314 18.427222, -71.783497 18.427129, -71.783641 18.426987, -71.783732 18.42681, -71.783761 18.426614, -71.783726 18.426419, -71.783629 18.426244, -71.78348 18.426107, -71.783294 18.42602, -71.783089 18.425992, -71.78288499999999 18.426026, -71.782702 18.426118, -71.78255799999999 18.42626, -71.782467 18.426437, -71.782437 18.426633))",2013-07-17 15:04:07.950,2016-04-12 15:08:22.010,2016-04-28 15:08:19.864,59
14,376711,0,"POLYGON ((-71.782437 18.426633, -71.782473 18.426828, -71.78257000000001 18.427003, -71.782718 18.42714, -71.782904 18.427228, -71.78310999999999 18.427255, -71.783314 18.427222, -71.783497 18.427129, -71.783641 18.426987, -71.783732 18.42681, -71.783761 18.426614, -71.783726 18.426419, -71.783629 18.426244, -71.78348 18.426107, -71.783294 18.42602, -71.783089 18.425992, -71.78288499999999 18.426026, -71.782702 18.426118, -71.78255799999999 18.42626, -71.782467 18.426437, -71.782437 18.426633))",2016-08-18 15:08:51.390,2019-12-17 15:09:03.062,,49
15,376811,0,"POLYGON ((-71.768675 18.430446, -71.76871 18.43064, -71.768807 18.430815, -71.768956 18.430953, -71.769142 18.43104, -71.769347 18.431068, -71.76955100000001 18.431034, -71.769734 18.430942, -71.769879 18.4308, -71.76997 18.430622, -71.769999 18.430426, -71.769964 18.430232, -71.769867 18.430057, -71.769718 18.429919, -71.769532 18.429832, -71.769327 18.429804, -71.76912299999999 18.429838, -71.76894 18.42993, -71.768795 18.430072, -71.768704 18.43025, -71.768675 18.430446))",2011-01-17 15:02:04.340,2015-06-29 15:08:08.700,2015-07-15 15:08:18.790,57
