,ID,patca,geometry,tStart,tEnd,tBreak,numObs
70,405811,1,"POLYGON ((-71.561419 18.879927, -71.561455 18.880122, -71.56155200000001 18.880297, -71.561701 18.880435, -71.561887 18.880522, -71.562093 18.88055, -71.562297 18.880516, -71.56248100000001 18.880424, -71.56262599999999 18.880282, -71.56271700000001 18.880105, -71.562747 18.879909, -71.56271099999999 18.879714, -71.562614 18.879539, -71.562465 18.879401, -71.562279 18.879314, -71.562073 18.879286, -71.561869 18.87932, -71.561685 18.879412, -71.56153999999999 18.879554, -71.561449 18.879731, -71.561419 18.879927))",2011-01-01 15:01:56.470,2013-05-22 15:10:48.010,2013-06-07 15:10:47.660,35
70,405811,1,"POLYGON ((-71.561419 18.879927, -71.561455 18.880122, -71.56155200000001 18.880297, -71.561701 18.880435, -71.561887 18.880522, -71.562093 18.88055, -71.562297 18.880516, -71.56248100000001 18.880424, -71.56262599999999 18.880282, -71.56271700000001 18.880105, -71.562747 18.879909, -71.56271099999999 18.879714, -71.562614 18.879539, -71.562465 18.879401, -71.562279 18.879314, -71.562073 18.879286, -71.561869 18.87932, -71.561685 18.879412, -71.56153999999999 18.879554, -71.561449 18.879731, -71.561419 18.879927))",2013-07-17 15:04:07.950,2016-10-21 15:09:06.520,2016-11-06 15:09:06.000,59
70,405811,1,"POLYGON ((-71.561419 18.879927, -71.561455 18.880122, -71.56155200000001 18.880297, -71.561701 18.880435, -71.561887 18.880522, -71.562093 18.88055, -71.562297 18.880516, -71.56248100000001 18.880424, -71.56262599999999 18.880282, -71.56271700000001 18.880105, -71.562747 18.879909, -71.56271099999999 18.879714, -71.562614 18.879539, -71.562465 18.879401, -71.562279 18.879314, -71.562073 18.879286, -71.561869 18.87932, -71.561685 18.879412, -71.56153999999999 18.879554, -71.561449 18.879731, -71.561419 18.879927))",2017-01-25 15:08:51.490,2019-12-17 15:09:03.062,,44
71,406112,1,"POLYGON ((-71.31632399999999 18.78288, -71.31635900000001 18.783075, -71.316456 18.78325, -71.316605 18.783388, -71.31679099999999 18.783476, -71.316997 18.783504, -71.317201 18.783471, -71.317385 18.783379, -71.31753 18.783237, -71.317622 18.78306, -71.317652 18.782864, -71.317617 18.782669, -71.31752 18.782494, -71.31737099999999 18.782356, -71.31718499999999 18.782268, -71.316979 18.78224, -71.31677500000001 18.782273, -71.316591 18.782365, -71.316446 18.782507, -71.316354 18.782684, -71.31632399999999 18.78288))",2011-01-01 15:01:56.470,2014-07-28 15:08:41.350,2014-08-05 15:06:24.990,54
71,406112,1,"POLYGON ((-71.31632399999999 18.78288, -71.31635900000001 18.783075, -71.316456 18.78325, -71.316605 18.783388, -71.31679099999999 18.783476, -71.316997 18.783504, -71.317201 18.783471, -71.317385 18.783379, -71.31753 18.783237, -71.317622 18.78306, -71.317652 18.782864, -71.317617 18.782669, -71.31752 18.782494, -71.31737099999999 18.782356, -71.31718499999999 18.782268, -71.316979 18.78224, -71.31677500000001 18.782273, -71.316591 18.782365, -71.316446 18.782507, -71.316354 18.782684, -71.31632399999999 18.78288))",2014-08-05 15:06:24.990,2019-12-17 15:09:03.062,,91
72,406111,1,"POLYGON ((-71.53771999999999 18.840471, -71.537755 18.840666, -71.537852 18.840841, -71.53800099999999 18.840979, -71.53818699999999 18.841066, -71.538393 18.841094, -71.53859799999999 18.84106, -71.538781 18.840968, -71.538926 18.840826, -71.539018 18.840649, -71.539047 18.840453, -71.539012 18.840258, -71.538915 18.840083, -71.538766 18.839945, -71.53858 18.839858, -71.538374 18.83983, -71.538169 18.839864, -71.537986 18.839956, -71.537841 18.840098, -71.53774900000001 18.840275, -71.53771999999999 18.840471))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,133
73,406211,1,"POLYGON ((-71.573679 18.933633, -71.57536500000001 18.93312, -71.575185 18.932659, -71.57503800000001 18.932651, -71.574958 18.932587, -71.574755 18.932682, -71.574737 18.932857, -71.574648 18.932906, -71.57454199999999 18.932797, -71.574279 18.932938, -71.57398000000001 18.933452, -71.573679 18.933633))",2011-03-06 15:02:18.750,2019-12-17 15:09:03.062,,155
74,406511,1,"POLYGON ((-71.56716900000001 18.93374, -71.567205 18.933935, -71.567302 18.93411, -71.56745100000001 18.934247, -71.567638 18.934334, -71.567843 18.934363, -71.568048 18.934329, -71.56823199999999 18.934236, -71.568377 18.934095, -71.568468 18.933917, -71.56849800000001 18.933721, -71.568462 18.933527, -71.568365 18.933352, -71.56821600000001 18.933214, -71.56802999999999 18.933127, -71.567824 18.933099, -71.56761899999999 18.933132, -71.567435 18.933225, -71.567291 18.933367, -71.567199 18.933544, -71.56716900000001 18.93374))",2011-01-17 15:02:04.340,2015-02-21 15:08:34.450,2015-03-09 15:08:25.400,65
74,406511,1,"POLYGON ((-71.56716900000001 18.93374, -71.567205 18.933935, -71.567302 18.93411, -71.56745100000001 18.934247, -71.567638 18.934334, -71.567843 18.934363, -71.568048 18.934329, -71.56823199999999 18.934236, -71.568377 18.934095, -71.568468 18.933917, -71.56849800000001 18.933721, -71.568462 18.933527, -71.568365 18.933352, -71.56821600000001 18.933214, -71.56802999999999 18.933127, -71.567824 18.933099, -71.56761899999999 18.933132, -71.567435 18.933225, -71.567291 18.933367, -71.567199 18.933544, -71.56716900000001 18.93374))",2015-03-09 15:08:25.400,2019-12-17 15:09:03.062,,81
75,407411,0,"POLYGON ((-70.922129 18.839824, -70.922164 18.840019, -70.92225999999999 18.840194, -70.922408 18.840333, -70.922595 18.84042, -70.9228 18.840449, -70.923005 18.840416, -70.92318899999999 18.840325, -70.923334 18.840183, -70.923427 18.840006, -70.923457 18.83981, -70.923422 18.839615, -70.923326 18.83944, -70.92317799999999 18.839301, -70.922991 18.839214, -70.922786 18.839185, -70.92258099999999 18.839218, -70.922397 18.839309, -70.922252 18.839451, -70.92215899999999 18.839628, -70.922129 18.839824))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,132
76,407813,1,"POLYGON ((-70.851398 18.893734, -70.851432 18.893929, -70.851529 18.894104, -70.851677 18.894242, -70.85186299999999 18.89433, -70.852069 18.894359, -70.85227399999999 18.894326, -70.852458 18.894235, -70.852604 18.894093, -70.85269599999999 18.893916, -70.852726 18.89372, -70.852692 18.893525, -70.85259499999999 18.89335, -70.852447 18.893212, -70.852261 18.893124, -70.85205499999999 18.893095, -70.85185 18.893128, -70.85166599999999 18.893219, -70.85151999999999 18.893361, -70.851428 18.893538, -70.851398 18.893734))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,126
77,408412,0,"POLYGON ((-70.968813 18.711907, -70.96866799999999 18.712051, -70.968795 18.712157, -70.968943 18.712278, -70.96910099999999 18.712341, -70.969256 18.712354, -70.96949600000001 18.712302, -70.96969199999999 18.712228, -70.96996900000001 18.711735, -70.970198 18.711548, -70.969881 18.711387, -70.969707 18.711282, -70.969521 18.711194, -70.96931600000001 18.711165, -70.96911799999999 18.71108, -70.96899000000001 18.711361, -70.96893 18.711572, -70.968864 18.711742, -70.968813 18.711907))",2011-01-17 15:02:04.340,2013-03-11 15:04:54.120,2013-04-12 15:04:46.610,24
77,408412,0,"POLYGON ((-70.968813 18.711907, -70.96866799999999 18.712051, -70.968795 18.712157, -70.968943 18.712278, -70.96910099999999 18.712341, -70.969256 18.712354, -70.96949600000001 18.712302, -70.96969199999999 18.712228, -70.96996900000001 18.711735, -70.970198 18.711548, -70.969881 18.711387, -70.969707 18.711282, -70.969521 18.711194, -70.96931600000001 18.711165, -70.96911799999999 18.71108, -70.96899000000001 18.711361, -70.96893 18.711572, -70.968864 18.711742, -70.968813 18.711907))",2013-04-12 15:04:46.610,2016-09-19 15:08:59.950,2016-10-21 15:09:06.520,73
77,408412,0,"POLYGON ((-70.968813 18.711907, -70.96866799999999 18.712051, -70.968795 18.712157, -70.968943 18.712278, -70.96910099999999 18.712341, -70.969256 18.712354, -70.96949600000001 18.712302, -70.96969199999999 18.712228, -70.96996900000001 18.711735, -70.970198 18.711548, -70.969881 18.711387, -70.969707 18.711282, -70.969521 18.711194, -70.96931600000001 18.711165, -70.96911799999999 18.71108, -70.96899000000001 18.711361, -70.96893 18.711572, -70.968864 18.711742, -70.968813 18.711907))",2016-11-06 15:09:06.000,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,42
78,408811,0,"POLYGON ((-70.766498 18.5353, -70.766533 18.535495, -70.76662899999999 18.53567, -70.766777 18.535809, -70.76696200000001 18.535897, -70.767168 18.535926, -70.76737199999999 18.535893, -70.767556 18.535801, -70.767701 18.53566, -70.76779399999999 18.535483, -70.767824 18.535287, -70.76779000000001 18.535092, -70.76769400000001 18.534917, -70.767546 18.534778, -70.76736 18.53469, -70.767155 18.534661, -70.76694999999999 18.534694, -70.766766 18.534785, -70.766621 18.534927, -70.76652900000001 18.535104, -70.766498 18.5353))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,123
79,411111,1,"POLYGON ((-71.565279 18.870509, -71.566489 18.871146, -71.567013 18.87078, -71.566326 18.870395, -71.566261 18.870251, -71.56543499999999 18.870083, -71.565406 18.870258, -71.56523900000001 18.87027, -71.565076 18.870247, -71.564953 18.870429, -71.565279 18.870509))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,120
80,411112,1,"POLYGON ((-71.56855400000001 18.847487, -71.56867699999999 18.84767, -71.568659 18.848189, -71.569439 18.848448, -71.569642 18.848375, -71.56978100000001 18.848214, -71.569879 18.848132, -71.569867 18.848008, -71.56958 18.847064, -71.56935799999999 18.846912, -71.56924600000001 18.847123, -71.569228 18.847318, -71.56905399999999 18.84731, -71.56877900000001 18.8471, -71.56854300000001 18.846788, -71.568298 18.846867, -71.56855400000001 18.847487))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,135
81,372111,0,"POLYGON ((-71.780261 18.430123, -71.781649 18.430237, -71.781902 18.429445, -71.781206 18.429361, -71.780541 18.429325, -71.780412 18.429422, -71.780261 18.430123))",2011-01-01 15:01:56.470,2014-08-21 15:06:23.620,2014-08-29 15:08:50.470,51
81,372111,0,"POLYGON ((-71.780261 18.430123, -71.781649 18.430237, -71.781902 18.429445, -71.781206 18.429361, -71.780541 18.429325, -71.780412 18.429422, -71.780261 18.430123))",2014-09-14 15:08:54.340,2019-12-17 15:09:03.062,,97
82,401211,1,"POLYGON ((-70.76487 18.536644, -70.76486199999999 18.536804, -70.76461999999999 18.536761, -70.76412000000001 18.53698, -70.764166 18.537379, -70.764745 18.537271, -70.76495 18.5373, -70.76515499999999 18.537268, -70.765339 18.537176, -70.76578600000001 18.537149, -70.765762 18.536835, -70.76574100000001 18.536256, -70.76487 18.536644))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,141
83,372312,0,"POLYGON ((-71.567279 18.350113, -71.567314 18.350308, -71.56741100000001 18.350483, -71.56756 18.350621, -71.567745 18.350708, -71.56795 18.350736, -71.56815400000001 18.350702, -71.568338 18.35061, -71.568482 18.350468, -71.568573 18.350291, -71.568603 18.350095, -71.568568 18.3499, -71.568471 18.349725, -71.56832199999999 18.349587, -71.56813699999999 18.3495, -71.567932 18.349472, -71.567728 18.349506, -71.567544 18.349598, -71.56740000000001 18.34974, -71.56730899999999 18.349917, -71.567279 18.350113))",2011-01-01 15:01:56.470,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,120
84,372714,0,"POLYGON ((-70.577541 18.467008, -70.577575 18.467203, -70.577671 18.467378, -70.57781900000001 18.467517, -70.578005 18.467605, -70.57821 18.467634, -70.578414 18.467602, -70.578598 18.46751, -70.578744 18.467369, -70.578836 18.467192, -70.578867 18.466996, -70.578833 18.466801, -70.578737 18.466626, -70.57858899999999 18.466487, -70.57840299999999 18.466399, -70.578198 18.46637, -70.577994 18.466402, -70.57781 18.466494, -70.577664 18.466635, -70.577572 18.466812, -70.577541 18.467008))",2011-02-11 14:56:00.650,2019-12-26 15:02:49.962,,202
85,372713,0,"POLYGON ((-70.766835 18.634733, -70.766921 18.634872, -70.76724 18.634849, -70.76731599999999 18.635133, -70.767464 18.635276, -70.767762 18.635228, -70.767983 18.635326, -70.76816100000001 18.635279, -70.768333 18.635163, -70.768073 18.634866, -70.767804 18.634714, -70.767622 18.634336, -70.767239 18.63424, -70.767073 18.634371, -70.766927 18.634487, -70.76680500000001 18.634568, -70.766835 18.634733))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,151
86,378211,1,"POLYGON ((-70.948746 18.728088, -70.950147 18.728787, -70.950157 18.728278, -70.950057 18.72776, -70.94992999999999 18.727182, -70.949652 18.727205, -70.949519 18.726996, -70.94920500000001 18.72701, -70.94911 18.727213, -70.94897899999999 18.727202, -70.948554 18.726932, -70.948746 18.728088))",2011-06-26 15:02:17.600,2014-04-23 15:08:37.810,2014-05-09 15:08:22.290,32
86,378211,1,"POLYGON ((-70.948746 18.728088, -70.950147 18.728787, -70.950157 18.728278, -70.950057 18.72776, -70.94992999999999 18.727182, -70.949652 18.727205, -70.949519 18.726996, -70.94920500000001 18.72701, -70.94911 18.727213, -70.94897899999999 18.727202, -70.948554 18.726932, -70.948746 18.728088))",2014-05-09 15:08:22.290,2019-12-17 15:09:03.062,,77
87,378311,1,"POLYGON ((-70.881351 18.721069, -70.88138600000001 18.721264, -70.88148200000001 18.721439, -70.881631 18.721577, -70.881817 18.721665, -70.88202200000001 18.721694, -70.882227 18.721661, -70.882411 18.72157, -70.88255599999999 18.721428, -70.882648 18.721251, -70.882679 18.721055, -70.882644 18.72086, -70.882548 18.720685, -70.882311 18.72063, -70.882126 18.720542, -70.88193800000001 18.720524, -70.881787 18.720545, -70.88176900000001 18.720855, -70.88154900000001 18.720847, -70.881382 18.720873, -70.881351 18.721069))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,138
88,378312,1,"POLYGON ((-70.857338 18.902806, -70.857372 18.903001, -70.85746899999999 18.903176, -70.857617 18.903314, -70.857803 18.903402, -70.858009 18.903431, -70.858214 18.903398, -70.85839799999999 18.903307, -70.85854399999999 18.903165, -70.858636 18.902988, -70.858666 18.902792, -70.858632 18.902597, -70.858535 18.902422, -70.85838699999999 18.902284, -70.85820099999999 18.902196, -70.857995 18.902167, -70.85778999999999 18.9022, -70.857606 18.902291, -70.85746 18.902433, -70.85736799999999 18.90261, -70.857338 18.902806))",2011-01-17 15:02:04.340,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,133
89,386711,1,"POLYGON ((-71.14774199999999 18.816438, -71.147777 18.816633, -71.147874 18.816808, -71.148022 18.816946, -71.148208 18.817034, -71.148414 18.817062, -71.148619 18.817029, -71.148803 18.816937, -71.148948 18.816795, -71.14904 18.816618, -71.14906999999999 18.816422, -71.149035 18.816227, -71.148938 18.816052, -71.14879000000001 18.815914, -71.14860400000001 18.815826, -71.148398 18.815798, -71.14819300000001 18.815831, -71.148009 18.815923, -71.147864 18.816065, -71.147772 18.816242, -71.14774199999999 18.816438))",2011-01-01 15:01:56.470,2013-07-17 15:04:07.950,2013-07-25 15:10:44.340,35
89,386711,1,"POLYGON ((-71.14774199999999 18.816438, -71.147777 18.816633, -71.147874 18.816808, -71.148022 18.816946, -71.148208 18.817034, -71.148414 18.817062, -71.148619 18.817029, -71.148803 18.816937, -71.148948 18.816795, -71.14904 18.816618, -71.14906999999999 18.816422, -71.149035 18.816227, -71.148938 18.816052, -71.14879000000001 18.815914, -71.14860400000001 18.815826, -71.148398 18.815798, -71.14819300000001 18.815831, -71.148009 18.815923, -71.147864 18.816065, -71.147772 18.816242, -71.14774199999999 18.816438))",2013-07-25 15:10:44.340,2019-12-17 15:09:03.062,,93
90,386811,1,"POLYGON ((-71.12627999999999 18.734893, -71.127551 18.734936, -71.128529 18.734775, -71.129288 18.734726, -71.12922 18.734298, -71.128456 18.734356, -71.12748999999999 18.734247, -71.127205 18.734071, -71.126407 18.73393, -71.126347 18.734253, -71.12627999999999 18.734893))",2011-01-17 15:02:04.340,2015-03-09 15:08:25.400,2015-03-25 15:08:16.830,74
90,386811,1,"POLYGON ((-71.12627999999999 18.734893, -71.127551 18.734936, -71.128529 18.734775, -71.129288 18.734726, -71.12922 18.734298, -71.128456 18.734356, -71.12748999999999 18.734247, -71.127205 18.734071, -71.126407 18.73393, -71.126347 18.734253, -71.12627999999999 18.734893))",2015-03-25 15:08:16.830,2019-12-17 15:09:03.062,,89
91,387311,1,"POLYGON ((-71.153524 18.824068, -71.153559 18.824263, -71.153655 18.824438, -71.15380399999999 18.824576, -71.15398999999999 18.824664, -71.154196 18.824692, -71.15440099999999 18.824659, -71.154585 18.824567, -71.15473 18.824425, -71.154822 18.824248, -71.15485200000001 18.824052, -71.15481699999999 18.823857, -71.15472 18.823682, -71.154572 18.823544, -71.154385 18.823456, -71.15418 18.823428, -71.153975 18.823461, -71.153791 18.823553, -71.15364599999999 18.823695, -71.153554 18.823872, -71.153524 18.824068))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,124
92,388711,0,"POLYGON ((-71.345562 18.668135, -71.346013 18.66822, -71.346576 18.668208, -71.346962 18.668442, -71.347081 18.668201, -71.346757 18.667831, -71.346329 18.667577, -71.345814 18.667394, -71.34567800000001 18.66743, -71.34505 18.667473, -71.34484500000001 18.66782, -71.345562 18.668135))",2011-01-01 15:01:56.470,2013-11-30 15:10:23.060,2013-12-16 15:10:16.720,42
92,388711,0,"POLYGON ((-71.345562 18.668135, -71.346013 18.66822, -71.346576 18.668208, -71.346962 18.668442, -71.347081 18.668201, -71.346757 18.667831, -71.346329 18.667577, -71.345814 18.667394, -71.34567800000001 18.66743, -71.34505 18.667473, -71.34484500000001 18.66782, -71.345562 18.668135))",2013-12-16 15:10:16.720,2019-12-17 15:09:03.062,,98
93,391211,1,"POLYGON ((-70.95067 18.694046, -70.950576 18.694057, -70.950423 18.694877, -70.951053 18.695005, -70.951402 18.693938, -70.951193 18.693975, -70.950988 18.693973, -70.95082600000001 18.693994, -70.950765 18.69414, -70.95067 18.694046))",2011-01-01 15:01:56.470,2012-10-18 15:04:32.150,2012-11-03 15:04:36.140,24
93,391211,1,"POLYGON ((-70.95067 18.694046, -70.950576 18.694057, -70.950423 18.694877, -70.951053 18.695005, -70.951402 18.693938, -70.951193 18.693975, -70.950988 18.693973, -70.95082600000001 18.693994, -70.950765 18.69414, -70.95067 18.694046))",2012-11-03 15:04:36.140,2016-09-19 15:08:59.950,2016-10-21 15:09:06.520,80
93,391211,1,"POLYGON ((-70.95067 18.694046, -70.950576 18.694057, -70.950423 18.694877, -70.951053 18.695005, -70.951402 18.693938, -70.951193 18.693975, -70.950988 18.693973, -70.95082600000001 18.693994, -70.950765 18.69414, -70.95067 18.694046))",2018-06-05 15:07:32.140,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,24
94,392711,1,"POLYGON ((-70.836935 18.755968, -70.83696999999999 18.756163, -70.83706599999999 18.756338, -70.837214 18.756477, -70.8374 18.756565, -70.83760599999999 18.756594, -70.837811 18.756561, -70.83799500000001 18.756469, -70.83814 18.756328, -70.838232 18.75615, -70.838263 18.755955, -70.838228 18.75576, -70.838132 18.755584, -70.83798400000001 18.755446, -70.83779699999999 18.755358, -70.837592 18.755329, -70.83738700000001 18.755362, -70.837203 18.755454, -70.837058 18.755595, -70.83696500000001 18.755772, -70.836935 18.755968))",2011-01-01 15:01:56.470,2016-09-19 15:08:59.950,2016-10-21 15:09:06.520,99
94,392711,1,"POLYGON ((-70.836935 18.755968, -70.83696999999999 18.756163, -70.83706599999999 18.756338, -70.837214 18.756477, -70.8374 18.756565, -70.83760599999999 18.756594, -70.837811 18.756561, -70.83799500000001 18.756469, -70.83814 18.756328, -70.838232 18.75615, -70.838263 18.755955, -70.838228 18.75576, -70.838132 18.755584, -70.83798400000001 18.755446, -70.83779699999999 18.755358, -70.837592 18.755329, -70.83738700000001 18.755362, -70.837203 18.755454, -70.837058 18.755595, -70.83696500000001 18.755772, -70.836935 18.755968))",2017-01-25 15:08:51.490,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,50
95,393712,1,"POLYGON ((-71.486227 18.758498, -71.48626299999999 18.758693, -71.48636 18.758868, -71.486508 18.759006, -71.486695 18.759093, -71.48690000000001 18.759121, -71.487105 18.759087, -71.48728800000001 18.758995, -71.487433 18.758853, -71.48752500000001 18.758676, -71.487555 18.75848, -71.48751900000001 18.758285, -71.487422 18.75811, -71.487273 18.757972, -71.487087 18.757885, -71.48688199999999 18.757857, -71.486677 18.757891, -71.48649399999999 18.757983, -71.486349 18.758125, -71.48625699999999 18.758302, -71.486227 18.758498))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,119
96,393711,1,"POLYGON ((-71.489778 18.758938, -71.489814 18.759133, -71.48991100000001 18.759308, -71.49006 18.759446, -71.490246 18.759533, -71.49045099999999 18.759561, -71.490656 18.759527, -71.49084000000001 18.759435, -71.490984 18.759293, -71.49107600000001 18.759116, -71.491106 18.75892, -71.49106999999999 18.758725, -71.490973 18.75855, -71.490824 18.758412, -71.490638 18.758325, -71.490433 18.758297, -71.490228 18.758331, -71.490044 18.758423, -71.48990000000001 18.758565, -71.489808 18.758742, -71.489778 18.758938))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,148
97,395011,0,"POLYGON ((-70.799324 18.709116, -70.799359 18.709311, -70.79945499999999 18.709487, -70.799603 18.709625, -70.799789 18.709713, -70.799995 18.709742, -70.80019900000001 18.709709, -70.800383 18.709618, -70.800529 18.709477, -70.800786 18.709257, -70.80031700000001 18.708523, -70.799691 18.708798, -70.79935500000001 18.708921, -70.799324 18.709116))",2011-01-17 15:02:04.340,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,139
98,397411,0,"POLYGON ((-70.927329 18.739182, -70.927364 18.739377, -70.92746 18.739553, -70.92760800000001 18.739691, -70.92779400000001 18.739779, -70.928 18.739808, -70.92820500000001 18.739775, -70.928389 18.739683, -70.928534 18.739541, -70.92862599999999 18.739364, -70.928656 18.739169, -70.928622 18.738973, -70.928241 18.738873, -70.92804 18.738741, -70.927753 18.738803, -70.927499 18.738866, -70.927359 18.738986, -70.927329 18.739182))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,128
99,398311,1,"POLYGON ((-70.93569599999999 18.733979, -70.93574599999999 18.734223, -70.936105 18.734182, -70.936291 18.734227, -70.936566 18.734323, -70.93665799999999 18.7343, -70.93674900000001 18.734304, -70.936752 18.734218, -70.936787 18.734002, -70.936773 18.733733, -70.93625299999999 18.733629, -70.93577999999999 18.733928, -70.93569599999999 18.733979))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,130
100,399112,1,"POLYGON ((-70.727812 18.607076, -70.727919 18.6073, -70.728076 18.607293, -70.72842 18.607185, -70.728336 18.606602, -70.72842900000001 18.606471, -70.728368 18.606182, -70.72814700000001 18.606069, -70.72792800000001 18.606076, -70.72790999999999 18.606426, -70.727814 18.606801, -70.727812 18.607076))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,144
101,399611,1,"POLYGON ((-70.740397 18.612726, -70.740431 18.612921, -70.740532 18.613069, -70.740712 18.613213, -70.740864 18.613289, -70.741181 18.613296, -70.741405 18.613201, -70.741561 18.613077, -70.741693 18.61291, -70.74172299999999 18.612714, -70.74168899999999 18.612519, -70.74159299999999 18.612343, -70.741445 18.612205, -70.741259 18.612117, -70.741046 18.612115, -70.740827 18.612172, -70.74067100000001 18.612234, -70.74052 18.612353, -70.740427 18.61253, -70.740397 18.612726))",2011-01-01 15:01:56.470,2017-10-24 15:09:04.060,2017-11-09 15:09:02.210,96
101,399611,1,"POLYGON ((-70.740397 18.612726, -70.740431 18.612921, -70.740532 18.613069, -70.740712 18.613213, -70.740864 18.613289, -70.741181 18.613296, -70.741405 18.613201, -70.741561 18.613077, -70.741693 18.61291, -70.74172299999999 18.612714, -70.74168899999999 18.612519, -70.74159299999999 18.612343, -70.741445 18.612205, -70.741259 18.612117, -70.741046 18.612115, -70.740827 18.612172, -70.74067100000001 18.612234, -70.74052 18.612353, -70.740427 18.61253, -70.740397 18.612726))",2017-11-25 15:08:56.459,2019-12-17 15:09:03.062,,33
102,400511,0,"POLYGON ((-70.72917700000001 18.605348, -70.72921100000001 18.605543, -70.72930700000001 18.605719, -70.729455 18.605857, -70.729641 18.605945, -70.72984599999999 18.605974, -70.730051 18.605942, -70.73023499999999 18.60585, -70.73038 18.605709, -70.730473 18.605532, -70.730503 18.605336, -70.730469 18.605141, -70.730373 18.604965, -70.730225 18.604827, -70.730039 18.604739, -70.729834 18.60471, -70.729629 18.604742, -70.729445 18.604834, -70.72929999999999 18.604975, -70.729207 18.605152, -70.72917700000001 18.605348))",2011-07-28 15:02:14.430,2019-12-17 15:09:03.062,,130
103,400512,0,"POLYGON ((-70.727639 18.605217, -70.728205 18.605197, -70.728477 18.605225, -70.728686 18.605153, -70.72874899999999 18.604668, -70.72878300000001 18.604166, -70.72866500000001 18.604125, -70.728604 18.60424, -70.728348 18.604362, -70.728165 18.604414, -70.727998 18.604455, -70.72751100000001 18.604465, -70.727529 18.604624, -70.727598 18.604753, -70.727639 18.605217))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,162
104,400611,1,"POLYGON ((-70.72603599999999 18.608263, -70.726071 18.608458, -70.726167 18.608633, -70.726315 18.608772, -70.726501 18.60886, -70.72670599999999 18.608889, -70.726911 18.608856, -70.72709500000001 18.608764, -70.72723999999999 18.608623, -70.727332 18.608446, -70.727363 18.60825, -70.727328 18.608055, -70.727233 18.60788, -70.727084 18.607741, -70.726899 18.607653, -70.726693 18.607624, -70.726489 18.607657, -70.726305 18.607748, -70.726159 18.60789, -70.726067 18.608067, -70.72603599999999 18.608263))",2011-01-01 15:01:56.470,2012-05-11 15:03:26.780,2012-05-20 14:57:15.360,24
104,400611,1,"POLYGON ((-70.72603599999999 18.608263, -70.726071 18.608458, -70.726167 18.608633, -70.726315 18.608772, -70.726501 18.60886, -70.72670599999999 18.608889, -70.726911 18.608856, -70.72709500000001 18.608764, -70.72723999999999 18.608623, -70.727332 18.608446, -70.727363 18.60825, -70.727328 18.608055, -70.727233 18.60788, -70.727084 18.607741, -70.726899 18.607653, -70.726693 18.607624, -70.726489 18.607657, -70.726305 18.607748, -70.726159 18.60789, -70.726067 18.608067, -70.72603599999999 18.608263))",2012-06-28 15:03:17.530,2019-12-17 15:09:03.062,,140
105,403611,0,"POLYGON ((-71.463988 18.887685, -71.46403599999999 18.88756, -71.46409300000001 18.887307, -71.464248 18.887333, -71.46428400000001 18.887255, -71.46444099999999 18.886519, -71.463419 18.886425, -71.46299 18.88718, -71.462839 18.887236, -71.462728 18.887527, -71.46278 18.887671, -71.463988 18.887685))",2011-01-01 15:01:56.470,2014-04-07 15:08:53.970,2014-04-23 15:08:37.810,56
105,403611,0,"POLYGON ((-71.463988 18.887685, -71.46403599999999 18.88756, -71.46409300000001 18.887307, -71.464248 18.887333, -71.46428400000001 18.887255, -71.46444099999999 18.886519, -71.463419 18.886425, -71.46299 18.88718, -71.462839 18.887236, -71.462728 18.887527, -71.46278 18.887671, -71.463988 18.887685))",2014-05-09 15:08:22.290,2015-09-01 15:08:34.420,2015-09-17 15:08:42.800,24
105,403611,0,"POLYGON ((-71.463988 18.887685, -71.46403599999999 18.88756, -71.46409300000001 18.887307, -71.464248 18.887333, -71.46428400000001 18.887255, -71.46444099999999 18.886519, -71.463419 18.886425, -71.46299 18.88718, -71.462839 18.887236, -71.462728 18.887527, -71.46278 18.887671, -71.463988 18.887685))",2015-09-17 15:08:42.800,2019-12-17 15:09:03.062,,76
