,ID,trend_Ori,Pvalue_Ori,trends_Mod_yue,Pvalue_Mod_yue,trends_Mod_rao,Pvalue_Mod_rao,trends_seasonal,Pvalue_seasonal,test
243,354211,increasing,2.115075778075237e-05,increasing,0.00025799627716960316,increasing,0.036868645227983166,increasing,0.00024769704294480555,mandal kendal
244,355411,no trend,0.1840953772070959,no trend,0.19928329120370436,no trend,0.4840766996203145,no trend,0.10317352123662071,mandal kendal
245,355711,no trend,0.2937937961247421,no trend,0.4021949208852258,no trend,0.616748597922572,no trend,0.09524387568675752,mandal kendal
246,355811,increasing,0.01122743193870046,increasing,0.03586322895372773,no trend,0.2109353268923253,increasing,0.016671008803755383,mandal kendal
247,356011,increasing,3.5083047578154947e-14,increasing,0.0,increasing,2.0001735823171884e-09,increasing,9.792167077193881e-14,mandal kendal
248,356611,increasing,0.0024453978720335723,increasing,0.012185381267167505,no trend,0.16866809298774488,increasing,0.0008967293467083692,mandal kendal
249,362511,increasing,2.215128757110385e-05,increasing,6.909356254447552e-05,increasing,0.008056629272212401,increasing,0.001987920844036317,mandal kendal
250,362711,increasing,0.0024453978720335723,increasing,0.0017541249473471687,no trend,0.07977634007711876,increasing,0.001987920844036317,mandal kendal
251,363121,increasing,0.024373288416885908,no trend,0.07425114291049284,no trend,0.34475170319708326,no trend,0.05655951262037706,mandal kendal
252,363211,increasing,3.740415176256562e-06,increasing,9.642088572014984e-08,increasing,0.007326420129493361,increasing,9.873949013416983e-05,mandal kendal
253,369211,no trend,0.12576029834060143,no trend,0.11346420617071318,no trend,0.39138797202366105,no trend,0.28565232751782466,mandal kendal
254,369221,decreasing,0.010732012688188242,decreasing,0.007873304401378345,no trend,0.12236821199705927,decreasing,0.027278511631067426,mandal kendal
255,369411,no trend,0.5782610692399586,no trend,0.5185117326745978,no trend,0.7026853628236198,no trend,0.3205252442674311,mandal kendal
256,370511,increasing,0.009792804740982541,increasing,0.02801466817408671,no trend,0.13530004369412785,no trend,0.05623780387727595,mandal kendal
257,370911,no trend,0.9192383617010784,no trend,0.9151363247036453,no trend,0.9427861984127133,no trend,0.6940491476712278,mandal kendal
258,371211,no trend,0.20156011313432942,no trend,0.15243998633743483,no trend,0.4819547784581406,no trend,0.18990645185722754,mandal kendal
259,371311,no trend,0.3582727695845307,no trend,0.5588594456390537,no trend,0.714172547892717,no trend,0.42885366100083866,mandal kendal
260,371411,decreasing,4.0021293792325e-05,decreasing,0.0002970735888219167,no trend,0.06255960458666054,decreasing,9.873949013416983e-05,mandal kendal
261,371511,increasing,7.106573172555031e-05,increasing,2.6476940042874375e-05,increasing,0.017965005992935934,increasing,0.00038507069520798964,mandal kendal
262,371811,increasing,7.322142892007832e-12,increasing,1.275093020058904e-07,increasing,0.0035221269056484594,increasing,3.5644844853521818e-09,mandal kendal
263,371911,increasing,0.028796942376005275,increasing,0.027613569752127143,no trend,0.24642942288934355,increasing,0.004235752343632049,mandal kendal
264,372011,increasing,7.008170413125292e-05,increasing,7.008790658957764e-09,increasing,0.008572366209343985,increasing,0.00040581908832026947,mandal kendal
265,372111,no trend,0.30386078592430166,no trend,0.24720563957674546,no trend,0.6131317672659911,no trend,0.2834872247539897,mandal kendal
266,372211,no trend,0.1998554377985271,no trend,0.2587762510067284,no trend,0.5006540822317957,no trend,0.8320040285726364,mandal kendal
267,372311,no trend,0.25978179292068004,no trend,0.3262117740087067,no trend,0.574667935391705,no trend,1.0,mandal kendal
268,372312,no trend,0.2551461972186555,no trend,0.30434285532227,no trend,0.5432036886773175,no trend,0.3195059648919747,mandal kendal
269,372611,no trend,0.05967192871185101,increasing,0.003848507960453329,no trend,0.05475586455791692,no trend,0.2834872247539897,mandal kendal
270,372711,increasing,0.011317929006386063,increasing,7.6013832535082315e-06,increasing,0.0007397123731522903,increasing,0.039204861810083536,mandal kendal
271,372712,no trend,0.05193089405781359,increasing,0.0005311400282694834,increasing,0.02060992109952897,no trend,0.0708084540220888,mandal kendal
272,372713,no trend,0.2894190486869166,no trend,0.07744546961016674,no trend,0.3436800482924751,no trend,0.718216129533986,mandal kendal
273,372714,no trend,0.06577555183717854,increasing,0.0030783302683630165,no trend,0.06934382993890797,no trend,0.5338294217441395,mandal kendal
274,372811,increasing,0.001826786022599558,increasing,8.40687357506198e-08,increasing,0.0025481731524887863,increasing,0.004235752343632049,mandal kendal
275,375511,increasing,0.00012743788577562754,increasing,0.00010256054094659461,increasing,0.03148852393187007,increasing,0.0012928805809331312,mandal kendal
276,376711,increasing,2.262856568790994e-12,increasing,7.561506976117016e-12,increasing,0.0002496660266646522,increasing,3.648226165609003e-10,mandal kendal
277,376811,increasing,0.004328907904703083,increasing,0.0011169463998295104,no trend,0.08395263846502443,increasing,0.0029036471090051474,mandal kendal
278,377611,no trend,0.9735114103426961,no trend,0.9668245812393146,no trend,0.9786380545314988,no trend,0.8551321405847059,mandal kendal
279,378111,no trend,0.6639096667147724,no trend,0.4444797311823363,no trend,0.7799580386376632,no trend,0.14307282579273184,mandal kendal
280,378211,increasing,0.00017418598926610684,increasing,1.2122078413501214e-05,increasing,0.008662302842153524,increasing,0.002602403447983237,mandal kendal
281,378212,increasing,0.03901589766105573,increasing,0.005552988063919795,no trend,0.05625996048487125,no trend,0.15125240360438852,mandal kendal
282,378311,no trend,0.2366630608439486,decreasing,0.03145953894954645,no trend,0.18831794747398023,no trend,0.32610945202048924,mandal kendal
283,378312,no trend,0.2589428629663013,increasing,0.012449685850317804,no trend,0.2562873430073265,no trend,0.35797067264432814,mandal kendal
284,378711,increasing,7.071328878005545e-08,increasing,0.0,no trend,,increasing,8.398211315263637e-06,mandal kendal
285,378911,increasing,0.018500723644566452,increasing,0.0009287019857169287,increasing,0.03869951181629716,no trend,0.06343142528861123,mandal kendal
286,379011,no trend,0.1580679709975623,no trend,0.1110904249129212,no trend,0.3010698144142645,no trend,0.36110618129698757,mandal kendal
287,379211,no trend,0.12665841372661335,increasing,0.008197862098280995,no trend,0.18427919508529556,no trend,0.42885366100083866,mandal kendal
288,380711,no trend,0.32084351186557547,no trend,0.2711393460099847,no trend,0.48385547392645134,no trend,1.0,mandal kendal
289,383211,no trend,0.06296387994594266,increasing,0.006949183922848157,no trend,0.1096134743660504,no trend,0.4920083713960961,mandal kendal
