,ID,trend_Ori,Pvalue_Ori,trends_Mod_yue,Pvalue_Mod_yue,trends_Mod_rao,Pvalue_Mod_rao,trends_seasonal,Pvalue_seasonal,cor_seasonal,Pvalue_seasonal_cor,test
79,261712,no trend,0.9332763805061923,no trend,0.7389077313225638,no trend,,no trend,0.49964225765235604,no trend,0.31731050786291415,mandal kendal
80,261713,no trend,0.3331693388353718,increasing,0.0011450826928145474,no trend,0.12581246428273207,no trend,1.0,no trend,0.31731050786291415,mandal kendal
81,262411,no trend,0.8465282828044682,no trend,0.5606077380609713,no trend,0.8117255520480948,no trend,0.7945723486232792,no trend,0.31731050786291415,mandal kendal
82,262413,no trend,0.9016705385876072,no trend,0.7241995090375535,no trend,0.8960999760636192,no trend,0.47010075987412847,no trend,0.31731050786291415,mandal kendal
83,262414,no trend,0.8342074867818816,no trend,0.4310005028546655,no trend,0.39227556258744123,no trend,1.0,no trend,0.31731050786291415,mandal kendal
84,262415,no trend,0.9499317198507831,no trend,0.8137511435677949,no trend,0.7561293775986038,no trend,1.0,no trend,0.31731050786291415,mandal kendal
85,262711,no trend,0.36537154850862086,increasing,0.0005649573691106635,no trend,0.08445589662665087,no trend,0.49624247444426284,no trend,0.31731050786291415,mandal kendal
86,262712,no trend,0.5438546354123606,increasing,0.02417754396783578,no trend,0.2695903668435429,no trend,0.49964225765235604,no trend,0.31731050786291415,mandal kendal
87,262713,no trend,1.0,no trend,1.0,no trend,,no trend,1.0,no trend,0.31731050786291415,mandal kendal
88,262714,no trend,0.8670185603843512,no trend,0.5128634817431852,no trend,0.7682030825293271,no trend,1.0,no trend,0.31731050786291415,mandal kendal
89,263011,no trend,0.9806980673807666,no trend,0.9260785985700226,no trend,0.9690916021206586,no trend,1.0,no trend,0.31731050786291415,mandal kendal
90,263012,no trend,0.8465282828044682,no trend,0.5121558998378533,no trend,,no trend,1.0,no trend,0.31731050786291415,mandal kendal
91,263013,no trend,0.9806980673807666,no trend,0.9263968266770977,no trend,,no trend,1.0,no trend,0.31731050786291415,mandal kendal
92,263014,no trend,0.9731197167307599,no trend,0.8931247264551283,no trend,0.9542918492858883,no trend,0.47010075987412847,no trend,0.31731050786291415,mandal kendal
93,263015,no trend,0.7715676600867172,no trend,0.2862686585672032,no trend,,no trend,1.0,no trend,0.31731050786291415,mandal kendal
94,263111,no trend,0.8655164609304618,no trend,0.5106847557059753,no trend,0.8106334740561716,no trend,1.0,no trend,0.31731050786291415,mandal kendal
95,263411,no trend,0.516431410692801,decreasing,0.01653400399897076,no trend,0.2949664487992145,no trend,1.0,no trend,0.31731050786291415,mandal kendal
96,263412,no trend,0.7535494327517966,no trend,0.3053431789593688,no trend,0.6473077894732531,no trend,0.6526850882533246,no trend,0.31731050786291415,mandal kendal
97,263511,no trend,0.47668240722040744,decreasing,0.023491416828893996,no trend,0.40055309729058397,no trend,0.11522804192045055,no trend,0.31731050786291415,mandal kendal
98,263611,no trend,0.6142802922561135,no trend,0.15736620962379289,no trend,0.0826495740973694,no trend,0.8801684549067255,no trend,0.31731050786291415,mandal kendal
99,263612,no trend,0.7108952874500365,no trend,0.2882529803371827,no trend,0.4194504906832308,no trend,0.8097320597931901,no trend,0.31731050786291415,mandal kendal
100,263613,no trend,0.7961487032320338,no trend,0.34558469158301985,no trend,0.6466600386831578,no trend,1.0,no trend,0.31731050786291415,mandal kendal
101,263621,no trend,0.6777161122500928,no trend,0.3727069239368419,no trend,0.6966008372929047,no trend,0.47010075987412847,no trend,0.31731050786291415,mandal kendal
102,263711,no trend,0.9166502013630717,no trend,0.7141612366668246,no trend,0.9156093808357451,no trend,0.6526850882533246,no trend,0.31731050786291415,mandal kendal
103,263721,no trend,0.9332763805061923,no trend,0.7702682457172447,no trend,0.9225690204186556,no trend,0.6526850882533246,no trend,0.31731050786291415,mandal kendal
104,264311,no trend,0.8135330043961142,no trend,0.44357686085664283,no trend,,no trend,0.8097320597931901,no trend,0.31731050786291415,mandal kendal
105,264711,no trend,0.9552145926892925,no trend,0.8389683108668013,no trend,0.9471037700503027,no trend,0.8097320597931901,no trend,0.31731050786291415,mandal kendal
106,265411,no trend,0.6302255973372057,no trend,0.07526146098700237,no trend,0.3917438560764759,no trend,0.49964225765235604,no trend,0.31731050786291415,mandal kendal
107,265511,no trend,0.5917967492239535,no trend,0.05737949756694638,no trend,,no trend,0.2530979089471155,no trend,0.31731050786291415,mandal kendal
108,268611,no trend,0.7615493074182684,no trend,0.2234216431606555,increasing,2.9830629610927417e-06,no trend,1.0,no trend,0.31731050786291415,mandal kendal
109,268811,no trend,0.8965279189482995,no trend,0.5853768756636606,no trend,0.8662045637920328,no trend,0.7272823220714764,no trend,0.31731050786291415,mandal kendal
110,268812,no trend,0.8453357931297272,no trend,0.3992494343422952,no trend,0.7116585020911694,no trend,0.9074562823909351,no trend,0.31731050786291415,mandal kendal
111,269511,no trend,0.8505806821024309,no trend,0.5435627481684737,no trend,0.77615844651112,no trend,0.8219655979326044,no trend,0.31731050786291415,mandal kendal
112,270211,no trend,0.8310096580691151,no trend,0.44953360392184827,no trend,,no trend,1.0,no trend,0.31731050786291415,mandal kendal
113,270212,no trend,0.8342074867818816,no trend,0.4501321084607046,no trend,0.8244423271614036,no trend,0.49964225765235604,no trend,0.31731050786291415,mandal kendal
114,270311,no trend,0.947859977968412,no trend,0.8288238567702977,no trend,0.9225843577873212,no trend,1.0,no trend,0.31731050786291415,mandal kendal
115,270521,no trend,0.8310096580691151,no trend,0.4903516171809792,no trend,0.7878007956257895,no trend,1.0,no trend,0.31731050786291415,mandal kendal
116,270711,no trend,0.842403512475705,no trend,0.5484581845503635,no trend,0.8479932257229872,no trend,1.0,no trend,0.31731050786291415,mandal kendal
117,270712,no trend,0.9833008244315273,no trend,0.9517350944551721,no trend,0.9431231163308849,no trend,0.6526850882533246,no trend,0.31731050786291415,mandal kendal
118,270811,no trend,0.8405809140670599,no trend,0.3913227662981975,no trend,,no trend,0.8917558535067942,no trend,0.31731050786291415,mandal kendal
119,271111,no trend,0.6928385117296678,no trend,0.20908327393408532,no trend,,no trend,0.8801684549067255,no trend,0.31731050786291415,mandal kendal
120,271112,no trend,0.9907040297231748,no trend,0.9666298689111954,no trend,0.9853156511823733,no trend,1.0,no trend,0.31731050786291415,mandal kendal
121,271211,no trend,0.9166502013630717,no trend,0.7441166496755871,no trend,0.9199977352453881,no trend,0.3680828292539511,no trend,0.31731050786291415,mandal kendal
122,276811,no trend,0.7901381702817245,no trend,0.379329069083997,no trend,0.7282114240741593,no trend,1.0,no trend,0.31731050786291415,mandal kendal
123,276812,no trend,0.8135330043961142,no trend,0.36239939343131145,no trend,0.7808634515879957,no trend,1.0,no trend,0.31731050786291415,mandal kendal
124,276911,no trend,0.5516478210183582,decreasing,0.03978852376150388,no trend,0.4397429757279361,no trend,0.3355039530729944,no trend,0.31731050786291415,mandal kendal
125,277111,no trend,0.9000604006879467,no trend,0.6262127744239563,no trend,0.8313507822125301,no trend,1.0,no trend,0.31731050786291415,mandal kendal
126,277211,no trend,0.5452829029299784,increasing,0.025121087664818686,no trend,,no trend,0.6025370061053139,no trend,0.31731050786291415,mandal kendal
127,277311,no trend,0.6345230397276371,no trend,0.12006080317156598,no trend,0.6407159384884966,no trend,0.5853789284609614,no trend,0.31731050786291415,mandal kendal
128,277411,no trend,0.6740181631266595,no trend,0.1822738939254691,no trend,0.6224792180120144,no trend,0.3964389152571208,no trend,0.31731050786291415,mandal kendal
129,284311,no trend,0.5699960728963258,no trend,0.09786186738855984,no trend,0.46773081247813497,no trend,0.43673777193407926,no trend,0.31731050786291415,mandal kendal
130,291111,no trend,0.6091300700836291,no trend,0.20102655665430258,no trend,0.6412907169548221,no trend,0.8676323347781927,no trend,0.31731050786291415,mandal kendal
131,291411,no trend,0.8209725423085437,no trend,0.42137166294643036,no trend,0.6302977790331816,no trend,0.34080324688608465,no trend,0.31731050786291415,mandal kendal
132,291412,no trend,0.8835141491217922,no trend,0.6280898291065895,no trend,0.9023516872889039,no trend,0.8219655979326044,no trend,0.31731050786291415,mandal kendal
133,291413,no trend,1.0,no trend,1.0,no trend,1.0,no trend,0.49964225765235604,no trend,0.31731050786291415,mandal kendal
134,291414,no trend,0.7766500488347059,no trend,0.3389559558477806,no trend,0.6564045503255413,no trend,0.832107365106955,no trend,0.31731050786291415,mandal kendal
135,292021,no trend,0.8444667630816367,no trend,0.5236410610443554,no trend,,no trend,0.7750969621959847,no trend,0.31731050786291415,mandal kendal
136,305511,no trend,0.2783473662511158,increasing,0.003788944089362367,no trend,0.15217282882937555,no trend,0.8230632737581214,no trend,0.31731050786291415,mandal kendal
137,305512,no trend,0.19618113273857274,increasing,2.4773238416209153e-06,increasing,0.03544802888408505,no trend,0.502334954360502,no trend,0.31731050786291415,mandal kendal
138,305513,no trend,0.8326659395181515,no trend,0.6503393511980144,no trend,0.8326659395181515,no trend,0.5464935954065819,no trend,0.31731050786291415,mandal kendal
139,305921,no trend,0.3134246287449334,increasing,0.010764065038784132,no trend,0.3134246287449334,no trend,0.6294858543167832,no trend,0.31731050786291415,mandal kendal
140,306611,no trend,0.5283124685330474,no trend,0.145326230386843,no trend,0.6407351713720641,no trend,0.794002680192762,no trend,0.31731050786291415,mandal kendal
141,307121,no trend,0.7115714636761059,no trend,0.4384975929308115,no trend,0.7115714636761059,no trend,1.0,no trend,0.31731050786291415,mandal kendal
142,307911,no trend,0.33934271674572325,decreasing,0.002949451666688807,decreasing,0.01720351465587089,no trend,0.49624247444426284,no trend,0.31731050786291415,mandal kendal
143,308811,no trend,0.4602261776270049,no trend,0.06720271525562782,decreasing,3.1863242311302997e-07,no trend,0.276242409444738,no trend,0.31731050786291415,mandal kendal
144,309011,no trend,0.14746439157584468,increasing,0.016260502627194695,no trend,0.14746439157584468,no trend,0.1615478220857125,no trend,0.31731050786291415,mandal kendal
145,309111,no trend,0.9136301036401862,no trend,0.7165723757351348,no trend,0.8964337177123312,no trend,0.8676323347781927,no trend,0.31731050786291415,mandal kendal
146,310111,no trend,0.8796101413969479,no trend,0.785061478047473,no trend,0.9122163110631256,no trend,1.0,no trend,0.31731050786291415,mandal kendal
147,310211,no trend,0.2819046108192158,decreasing,0.0014059432708362074,no trend,0.42234545476683216,no trend,0.09725442843900312,no trend,0.31731050786291415,mandal kendal
148,310311,no trend,0.3900801527621489,increasing,0.002571589339869451,no trend,0.3900801527621489,no trend,0.8624902301359216,no trend,0.31731050786291415,mandal kendal
149,310421,no trend,0.47672905828844625,increasing,0.030810769058174037,no trend,0.47672905828844625,no trend,0.2602848338696484,no trend,0.31731050786291415,mandal kendal
150,310511,no trend,0.24755577818020225,increasing,0.003006630514449604,no trend,0.306913483189001,no trend,0.6294858543167832,no trend,0.31731050786291415,mandal kendal
151,310611,no trend,0.7239911390149285,no trend,0.336039499341547,no trend,0.5555386398847122,no trend,1.0,no trend,0.31731050786291415,mandal kendal
152,311511,no trend,0.9611987334080325,no trend,0.896784502222685,no trend,,no trend,0.6033317722918665,no trend,0.31731050786291415,mandal kendal
153,311521,no trend,0.383767900437737,decreasing,0.03957167970720854,decreasing,0.0410615787729407,no trend,0.7945723486232792,no trend,0.31731050786291415,mandal kendal
154,311522,no trend,0.967405367717791,no trend,0.9281282112024771,no trend,0.9623866512390098,no trend,0.8801684549067255,no trend,0.31731050786291415,mandal kendal
155,312121,no trend,0.6728442148625922,no trend,0.36904027022215247,no trend,0.7561195779936201,no trend,0.45098231926888266,no trend,0.31731050786291415,mandal kendal
