,ID,trend_Ori,Pvalue_Ori,trends_Mod_yue,Pvalue_Mod_yue,trends_Mod_rao,Pvalue_Mod_rao,trends_seasonal,Pvalue_seasonal,test
0,27611,no trend,0.4282248611402122,no trend,0.10144286719864071,no trend,0.4814925809793562,no trend,0.1107537997286403,mandal kendal
1,38911,no trend,0.16435135115666077,increasing,0.012556986802161552,no trend,0.2456487977157793,no trend,0.5092698679568777,mandal kendal
2,39311,increasing,0.00012690537425519288,increasing,3.019243521862336e-09,increasing,0.004662486994423842,increasing,0.00029432638640969344,mandal kendal
3,46611,no trend,0.21453817981249435,no trend,0.07502583475179025,no trend,0.29369870061765324,no trend,0.19883057845482854,mandal kendal
4,51511,no trend,0.06171930060523634,increasing,0.010033941547430425,increasing,0.02040511697474523,no trend,0.1144325028456199,mandal kendal
5,54411,increasing,3.667227677972562e-06,increasing,2.709520099397622e-07,increasing,0.0015301973306773853,increasing,4.2042398666009007e-05,mandal kendal
6,56811,no trend,0.743545576592221,no trend,0.5731262732821716,no trend,0.6415121614993371,no trend,0.6231762238821175,mandal kendal
7,79311,increasing,4.8005816658092115e-05,increasing,0.0016804417495228652,no trend,0.05341527235757648,increasing,0.00011650512209637753,mandal kendal
8,79312,increasing,1.0561338470438386e-09,increasing,0.0,increasing,0.0,increasing,3.9666161466556105e-09,mandal kendal
9,94911,increasing,0.0048421047895914615,increasing,2.7908613198235344e-09,increasing,0.012373504479528785,increasing,0.0033680111449412298,mandal kendal
10,94912,increasing,0.000665576849796734,increasing,2.9127929047634282e-05,increasing,0.024565277394229534,increasing,0.0027758381270051036,mandal kendal
11,110811,no trend,0.1342046981539502,increasing,0.009227275276817437,no trend,0.20120320084448307,no trend,0.5363134592747778,mandal kendal
12,110921,no trend,0.061787264687906296,increasing,0.0029776363350539903,no trend,0.19207781622387143,no trend,0.05482172860748169,mandal kendal
13,115011,no trend,0.08074457541899305,increasing,0.01658873632744795,no trend,0.0962656324198119,no trend,0.2827964560439229,mandal kendal
14,116621,increasing,0.03789420220394035,increasing,0.006221532022882226,no trend,0.28071796518178305,increasing,0.0175039471453049,mandal kendal
15,131611,increasing,0.014986480932037693,increasing,0.011444867518064505,no trend,0.13612190940730207,increasing,0.007147342117904909,mandal kendal
16,132421,no trend,0.9555297942464578,no trend,0.9472011164913383,no trend,0.9752615122589456,no trend,0.8454553466733232,mandal kendal
17,136411,increasing,0.00028092130839185714,increasing,0.003126444028257236,no trend,0.07319636313733957,increasing,0.002913663182772641,mandal kendal
18,141221,no trend,0.9240623657734681,no trend,0.8569415911131648,no trend,0.9299091917471114,no trend,0.6818352676908219,mandal kendal
19,141311,increasing,0.00033989910212861574,increasing,5.055038827528335e-07,increasing,0.018808395701854108,increasing,0.000655743477955717,mandal kendal
20,141421,no trend,0.32479356737896437,no trend,0.138414284702556,no trend,0.5580764861431768,no trend,0.2120034309228258,mandal kendal
21,154411,no trend,0.47005024214424074,no trend,0.17337903327228998,no trend,0.6246072022521278,no trend,0.8965138176740763,mandal kendal
