,ID,trend_Ori,Pvalue_Ori,trends_Mod_yue,Pvalue_Mod_yue,trends_Mod_rao,Pvalue_Mod_rao,trends_seasonal,Pvalue_seasonal,test
0,27611,increasing,0.018396519702051473,increasing,3.818055427373679e-09,no trend,0.0594034957247036,no trend,0.20337402315980757,mandal kendal
1,38911,no trend,0.1110156560699953,increasing,0.002689650352843076,no trend,0.07562467221551228,no trend,1.0,mandal kendal
2,39311,increasing,9.812058672453716e-05,increasing,3.3237301799715624e-10,increasing,0.00037532497937164955,increasing,9.580857198487891e-06,mandal kendal
3,46611,no trend,0.8248046168337546,no trend,0.681484585729152,no trend,0.705574319359842,no trend,0.7076604666545523,mandal kendal
4,51511,increasing,0.00535942451005833,increasing,2.4366175743750773e-10,increasing,0.00535942451005833,increasing,0.008664896726024995,mandal kendal
5,54411,increasing,0.0037167668739694903,increasing,2.686446620714378e-10,no trend,,no trend,0.09725442843900312,mandal kendal
6,56811,no trend,0.31453469858619254,increasing,0.04286997139721693,no trend,0.17274439267465613,no trend,0.34080324688608465,mandal kendal
7,79311,increasing,0.005035832307958676,increasing,1.834080046503317e-06,increasing,0.010381923296671536,increasing,0.0069295520109569075,mandal kendal
8,79312,no trend,0.7108952874500365,no trend,0.45027774338893134,no trend,0.6443709515737344,no trend,0.47010075987412847,mandal kendal
9,94911,increasing,0.0002115919272496214,increasing,2.4484858585083202e-12,increasing,2.7586891546249603e-05,increasing,0.0016313296984684644,mandal kendal
10,94912,no trend,0.5523765052635039,no trend,0.3697997439355101,no trend,0.663771157764375,no trend,0.7076604666545523,mandal kendal
11,110811,no trend,0.8219844440767774,no trend,0.6697583464564962,no trend,0.834612604087702,no trend,1.0,mandal kendal
12,110921,no trend,0.9245677984378258,no trend,0.8466707890559038,no trend,0.9475972495401352,no trend,0.7569972106581437,mandal kendal
13,115011,increasing,0.019388575004815944,increasing,0.00045452645275978476,no trend,0.06385205868800159,increasing,0.019700936519593704,mandal kendal
14,116621,no trend,0.6636253756806705,no trend,0.5085586716080825,no trend,0.671596534946058,no trend,1.0,mandal kendal
15,131611,increasing,0.007628452120383988,increasing,2.4290217170985784e-08,increasing,0.0015723311271182983,increasing,0.008664896726024995,mandal kendal
16,132421,no trend,0.27848056798213805,no trend,0.12942200640717694,no trend,0.4211637212210506,no trend,0.5610799295856816,mandal kendal
17,136411,increasing,4.5582549954348295e-05,increasing,2.747395400071184e-07,increasing,0.00024576721413493985,increasing,0.00011699093322237175,mandal kendal
18,141221,no trend,0.4488598208640493,no trend,0.217123426042249,no trend,0.6756577766934146,no trend,0.2605890342736177,mandal kendal
19,141311,increasing,0.012254760270346887,increasing,9.753142431234707e-06,no trend,0.13250144009020848,increasing,0.030239021016148726,mandal kendal
20,141421,no trend,0.3472987680371582,no trend,0.09816585937350197,no trend,0.5115434817036748,no trend,0.17484443361041468,mandal kendal
21,154411,increasing,0.03467958795505921,increasing,0.0002280051166183572,increasing,0.03156961812899417,no trend,1.0,mandal kendal
22,165711,no trend,0.13152122240591746,increasing,0.03345321988962846,no trend,0.2525900168384898,no trend,0.22534569370166668,mandal kendal
23,165911,increasing,0.049270169805609054,increasing,0.00019737611860048965,no trend,0.11338576846077131,no trend,0.08988652243978379,mandal kendal
24,166011,no trend,0.11166721889060982,increasing,0.002910424728007399,no trend,0.1211055764241955,no trend,0.49964225765235604,mandal kendal
25,166211,no trend,1.0,no trend,1.0,no trend,1.0,no trend,0.7945723486232792,mandal kendal
26,208211,no trend,0.8634827661170421,no trend,0.7714086093117629,no trend,0.9179492828553486,no trend,1.0,mandal kendal
27,215311,no trend,0.14644317557278397,increasing,0.02055194875009536,no trend,0.2130616112084942,no trend,0.4157976549629323,mandal kendal
28,215411,increasing,0.006932311863666385,increasing,4.440892098500626e-16,increasing,0.009329970774436536,increasing,0.0069295520109569075,mandal kendal
29,215811,no trend,0.48793753671895557,no trend,0.16123918925528224,no trend,0.5796612817439413,no trend,0.4157976549629323,mandal kendal
30,216311,increasing,0.002182368331975937,increasing,3.0465798552814505e-06,increasing,0.007914425898388977,increasing,0.01754895019147673,mandal kendal
31,216312,increasing,0.03702074766590524,increasing,0.005995527332398609,no trend,0.17235896215169477,increasing,0.01754895019147673,mandal kendal
32,216411,no trend,0.08988158946826497,increasing,0.0015087960801745126,no trend,0.2114084967414187,no trend,0.3355039530729944,mandal kendal
33,216811,no trend,0.09822173608073292,increasing,0.022428224187987622,no trend,0.25303977662128174,no trend,0.49964225765235604,mandal kendal
34,217211,increasing,0.03629096535769083,increasing,0.021662864159617046,no trend,0.26477062847069566,increasing,0.03816576945882999,mandal kendal
35,223911,no trend,0.0956348220420149,no trend,0.10351607514073824,no trend,0.3678665127796812,no trend,0.7569972106581437,mandal kendal
36,225211,no trend,0.8612638836213089,no trend,0.7744899715009836,no trend,0.6706565051083351,no trend,1.0,mandal kendal
37,225611,no trend,0.09946385701802929,increasing,0.00021688916861495322,no trend,0.10528553342408187,no trend,0.7569972106581437,mandal kendal
38,226111,increasing,0.02773447023504816,increasing,6.785234596407008e-09,increasing,0.04181751988005744,no trend,0.3964389152571208,mandal kendal
39,226511,increasing,0.03629096535769083,increasing,3.084152377930138e-08,no trend,0.07361597948746423,no trend,0.10170693003109332,mandal kendal
40,226512,no trend,0.32314564687631897,increasing,0.01716591751027896,no trend,0.4528508903056496,no trend,0.524777251099604,mandal kendal
41,226513,no trend,0.24477263865521381,decreasing,0.0014611889504008158,no trend,0.2256554822669128,no trend,0.15606926343164362,mandal kendal
42,226811,increasing,0.033773684248456615,increasing,1.544233450001542e-07,no trend,0.08431135373791054,no trend,0.08988652243978379,mandal kendal
43,236211,increasing,6.983130952065153e-05,increasing,0.0,increasing,1.1705632607217353e-05,increasing,0.00013061353717347401,mandal kendal
44,238021,no trend,0.1597590306758807,increasing,0.0017009429960741507,no trend,0.11326973727910605,no trend,0.445008718746736,mandal kendal
45,238022,no trend,0.12669796082145446,increasing,9.667227987408822e-05,no trend,0.0977389948207481,no trend,0.445008718746736,mandal kendal
46,239011,increasing,0.00044869855143736537,increasing,4.40078319652315e-06,increasing,0.006600721502386664,increasing,0.0015553158298389214,mandal kendal
47,239013,no trend,0.7694978647855903,no trend,0.5700899508770019,no trend,0.7384253191396601,no trend,1.0,mandal kendal
48,243611,increasing,0.012613773367221581,increasing,1.1843872307348846e-06,increasing,0.009235792033256418,increasing,0.03400640286438694,mandal kendal
49,243612,no trend,0.05157291501015138,increasing,0.0005591962739386336,no trend,0.07724369290910515,no trend,0.08988652243978379,mandal kendal
50,243613,no trend,0.32937921868675035,no trend,0.05206810859453803,no trend,0.2895293976772395,no trend,0.20099425588307973,mandal kendal
51,243712,increasing,0.034525447755673344,increasing,6.372964371781364e-07,increasing,0.047129511768996046,no trend,0.06361735444216388,mandal kendal
52,243713,increasing,0.03492695158903891,increasing,0.00019403830479025608,increasing,0.02801549938236758,no trend,0.07044042927208793,mandal kendal
53,243911,increasing,0.03719346193018369,increasing,5.500995172047496e-05,no trend,0.09898307217926927,no trend,0.2891455637972511,mandal kendal
54,243912,no trend,0.10650947619345841,increasing,0.0002471551098501834,no trend,0.2517561399043555,no trend,0.3964389152571208,mandal kendal
