,ID,cultivo_x,cultivo_y,superf_par,area,correccion,corregido,corregido2,patca,temporary_,temporary_crop,trends,geometry
18,378212,cero,limon,7.8599992,15138.68,revisar área,ok,ok,1,0,0,trend,"POLYGON ((-70.91397728856344 18.74635279195413, -70.91400757018341 18.74615706802964, -70.91409985615387 18.74597983817712, -70.91424511273344 18.74583845082017, -70.91442912117108 18.74574674583717, -70.91463386954594 18.74571369985622, -70.91483931585884 18.74574254759641, -70.91502534980704 18.74583046525067, -70.91517376123912 18.74596884689568, -70.91527002263504 18.74614414687306, -70.91530471115162 18.74633920569424, -70.91527443103682 18.74653492969456, -70.91518214610544 18.74671216003439, -70.91503688970198 18.74685354810402, -70.91485288051022 18.74694525375287, -70.91464813073904 18.74697830009848, -70.91444268292098 18.7469494522825, -70.9142566479337 18.74686153414092, -70.9141082363255 18.74672315178322, -70.91401197568369 18.74654785113998, -70.91397728856344 18.74635279195413))"
19,378711,limon,aguacate,11.632798,14718.448,mover hacia el centro del cultivo y revisar área,Se movió hacia la derecha,ok,1,0,0,trend,"POLYGON ((-70.90955552575709 18.73398565318787, -70.90958581174127 18.73378992947763, -70.90967809708822 18.73361270177444, -70.90978667582206 18.73349403604707, -70.90994284908832 18.73340257867214, -70.91013113224305 18.73337070273442, -70.91027282160502 18.7333892264942, -70.91045124319641 18.73341236766979, -70.91067298374517 18.73355987734633, -70.91079030061984 18.73374090359814, -70.91085494249795 18.73389750535273, -70.91085257068464 18.73416783068316, -70.91076028637572 18.73434505887348, -70.91061503552187 18.73448644306859, -70.91043103626369 18.73457814349725, -70.91022629983767 18.73461118378806, -70.91002086746987 18.73458232967544, -70.90983484852541 18.73449440561178, -70.90968645198207 18.73435601828621, -70.9095902039524 18.73418071411553, -70.90955552575709 18.73398565318787))"
26,384611,pasto,pasto,6.4766393,15127.612,revisar área,"Se movió hacia arriba, la zona de influencia contiene arboles","ok, revisar tipo cultivo",0,0,0,trend,"POLYGON ((-71.51730994274411 18.92527908017551, -71.51733952176752 18.92508333129111, -71.517431216118 18.9249058614835, -71.51757604995838 18.92476404266808, -71.51775984591026 18.9246717569566, -71.51796461284714 18.92463803781827, -71.5181703069524 18.92466618585878, -71.51835679367213 18.92475344575632, -71.51850581854214 18.92489127597, -71.51860279400287 18.92506618482022, -71.51863822731866 18.92526105110929, -71.51860864983183 18.92545680002562, -71.51851695657463 18.9256342702969, -71.51837212296661 18.92577608983063, -71.51818832629746 18.92586837624067, -71.51798355796758 18.92590209579101, -71.51777786232572 18.92587394771856, -71.51759137451272 18.92578668735734, -71.51744234941033 18.92564885642535, -71.51734537466692 18.92547394687656, -71.51730994274411 18.92527908017551))"
30,387011,habichuela roja,habichuela roja,1.8863997,11032.507,"Punto sobre árbol, mover hacia abajo",Se movió hacia abjo y a la izquierda,ok,0,1,1,trend,"POLYGON ((-71.15144377146504 18.81921320189214, -71.15166111124833 18.81899105441955, -71.15198816807396 18.81832836194483, -71.15224254503286 18.81854506476811, -71.15225728477874 18.81887934514588, -71.15232351740282 18.81955247333802, -71.15213518033029 18.81999392589869, -71.1515327140518 18.8196115195103, -71.15122770136389 18.819535170533, -71.15144377146504 18.81921320189214))"
31,387411,habichuela negra,habichuela roja,1.8863997,14318.944,mover hacia el centro del cultivo,Se movió hacia la derecha y arriba,ok,1,1,1,trend,"POLYGON ((-71.35188488281771 18.66740785326617, -71.35266821159168 18.66611027645533, -71.35325545187453 18.66654215150536, -71.35293137626938 18.66696548473762, -71.35328610597423 18.66724554292238, -71.3529773238548 18.66763873668492, -71.35258235895405 18.66747897389758, -71.3524024759455 18.66772580301839, -71.35188488281771 18.66740785326617))"
32,388011,habichuela roja,habichuela roja,3.7727995,18033.06,mover hacia el centro del cultivo y revisar área,Se movió hacia arriba,ok,0,1,1,trend,"POLYGON ((-71.56304472151822 18.76564421017995, -71.56282007566065 18.76464666659535, -71.56418757703155 18.7651718858095, -71.56426969497944 18.76540531912985, -71.56355497753202 18.76647314327439, -71.56293356088146 18.76626207996252, -71.56299569225079 18.76603142234233, -71.56299611210551 18.76589440934325, -71.56304472151822 18.76564421017995))"
34,388911,habichuela roja,cebolla,1.8863997,8553.927,mover hacia el centro del cultivo y revisar área,"ok, no se movió hacia al centro para que no afecte la zona de influencia",ok,0,1,1,trend,"POLYGON ((-71.25588361628466 18.88663529848129, -71.25690894597993 18.8866465600376, -71.25710361092058 18.88689002684989, -71.2574531970195 18.88715032979617, -71.25750256804626 18.88770378511755, -71.25676178434382 18.88720864162554, -71.25598126694769 18.88687869625874, -71.25588361628466 18.88663529848129))"
35,389311,habichuela roja,cebolla,1.8863997,19361.014,mover al centro del cultivo y revisar área,Se movió hacia la derecha,ok,1,1,1,trend,"POLYGON ((-71.12327377499489 18.79840171502273, -71.12284021422606 18.7981021426791, -71.1219845950412 18.79800205246013, -71.12212240329322 18.79770596406783, -71.12206642919409 18.79742206301662, -71.12314888132767 18.79722005950752, -71.12344555501167 18.79747127011002, -71.12390039104882 18.79779555838342, -71.12394918606442 18.79792479196316, -71.12414459674308 18.79804237294085, -71.12373354107754 18.79870098797942, -71.12344011121174 18.79849966000872, -71.12327377499489 18.79840171502273))"
36,389411,habichuela roja,cebolla,1.8863997,15126.636,revisar área,ok,ok,1,1,1,trend,"POLYGON ((-71.56109848622441 18.77111709816709, -71.56112800967628 18.77092134856097, -71.56121959235611 18.77074386979928, -71.56136426935868 18.77060203467493, -71.56154787865748 18.770509726897, -71.56175244739535 18.7704759820952, -71.56195795115458 18.77050410338717, -71.56214427401171 18.77059133806871, -71.56229317754173 18.77072914706623, -71.56239008606312 18.77090404077601, -71.56242551339433 18.77109889948191, -71.56239599146572 18.77129464911484, -71.56230440987295 18.77147212833306, -71.56215973310601 18.77161396416927, -71.56197612310139 18.77170627264248, -71.56177155298589 18.77174001785741, -71.56156604770341 18.77171189653863, -71.56137972375922 18.77162466140056, -71.56123081999358 18.77148685169118, -71.56113391217801 18.77131195728612, -71.56109848622441 18.77111709816709))"
38,390011,habichuela roja,habichuela roja,0.75455987,7157.217,mover hacia el centro del cultivo,Se movió hacia la derecha y abajo,ok,1,1,1,trend,"POLYGON ((-71.15261056155262 18.81995824359015, -71.15270090129933 18.81964271720091, -71.15284824482907 18.81948127824545, -71.15310013114049 18.81970799197693, -71.15315834348796 18.81995690946555, -71.15327108141366 18.82016526276231, -71.15356680758502 18.82054122317198, -71.15269150354874 18.8205513328187, -71.15255792775024 18.82035320334246, -71.15261056155262 18.81995824359015))"
39,390111,habichuela roja,cebolla,0.94319987,16985.909,mover hacia el centro del cultivo,Se movió hacia arriba e izquierda,ok,1,1,1,trend,"POLYGON ((-71.1523160315966 18.82291972333074, -71.15155704213961 18.82218470757592, -71.15185688070434 18.82144246031326, -71.15214846068157 18.82169866772644, -71.15229731655951 18.82186167841354, -71.15250913296371 18.82202895373645, -71.15335351401248 18.82288278193195, -71.15291454209341 18.82340200746105, -71.1523160315966 18.82291972333074))"
40,390311,habichuela roja,habichuela roja,1.8863997,15135.205,ok,ok,ok,1,1,1,trend,"POLYGON ((-71.12279415591335 18.80214155408, -71.12282419599863 18.80194581924975, -71.1229162770652 18.80176850495921, -71.12306138542651 18.80162696789855, -71.12324531683734 18.80153506259991, -71.12345006691496 18.80150178529814, -71.12365559349328 18.80153039335327, -71.12384177841409 18.80161808641814, -71.12399039675032 18.80175628055258, -71.12408690073148 18.80193144845336, -71.1241218437703 18.80212644356202, -71.12409180520054 18.80232217845284, -71.12399972519145 18.80249949322235, -71.12385461702567 18.80264103099746, -71.12367068487372 18.80273293697309, -71.12346593340139 18.80276621465585, -71.12326040530755 18.80273760654015, -71.12307421932925 18.80264991299631, -71.12292560079752 18.80251171814742, -71.12282909755747 18.80233654956965, -71.12279415591335 18.80214155408))"
41,390911,limon,arboles maderables,5.030399299999999,16753.408,mover hacia el centro del cultivo y revisar área,ok,ok,0,0,0,trend,"POLYGON ((-70.8057350520675 18.53305749918542, -70.80798329954239 18.53282629950179, -70.80809322291003 18.53332452365249, -70.80638822420485 18.53371256037353, -70.80569916184533 18.53362701770526, -70.80579550642223 18.53333152349941, -70.8057350520675 18.53305749918542))"
45,392311,guandul,habichuela roja,6.2879992,31977.388,mover hacia el centro del cultivo,Se movió hacia la izquierda y arriba,"ok, revisar tipo cultivo",1,1,1,trend,"POLYGON ((-70.84342279841889 18.75428388317545, -70.84316486704886 18.75369730129844, -70.84367570173319 18.75344263692554, -70.84420027001616 18.75348739043995, -70.84429040709357 18.75406564039203, -70.84463869919081 18.75525043803009, -70.84390075846545 18.75582686975405, -70.8432244649897 18.75532429444247, -70.84252753941735 18.75485187512192, -70.84342279841889 18.75428388317545))"
46,392312,cero,guineo,5.030399299999999,15143.059,revisar área,Se movió hacia abajo,"ok, árboles",1,0,0,trend,"POLYGON ((-70.61529315172386 18.53154281017677, -70.61532376427941 18.53134710518756, -70.61541627765698 18.53117000230715, -70.6155616358599 18.53102883752914, -70.61574561019347 18.53093742894549, -70.61595019207684 18.53090472417361, -70.61615535580671 18.53093392453621, -70.61634101873766 18.53102217171196, -70.61648900703111 18.53116082752273, -70.61658483458285 18.53133631947176, -70.61661912101576 18.53153146927599, -70.61658850993797 18.53172717436115, -70.61649599756517 18.5319042777363, -70.61635063951024 18.53204544321888, -70.61616666441137 18.53213685244781, -70.6159620811417 18.5321695575592, -70.61575691593409 18.53214035710066, -70.61557125199838 18.53205210943016, -70.61542326355692 18.53191345291482, -70.61532743677047 18.53173796032052, -70.61529315172386 18.53154281017677))"
47,392511,limon,limon,0.88031989,10627.799,ok,ok,ok,1,0,0,trend,"POLYGON ((-70.94719251981651 18.58173522643198, -70.94741306501649 18.58156320553904, -70.94753787457505 18.58148952584829, -70.94759190263943 18.58140659265433, -70.94785528087279 18.58154865108348, -70.94870809226187 18.58196169486655, -70.94865312155706 18.58219191437968, -70.94791402316393 18.58257148974297, -70.94719251981651 18.58173522643198))"
48,392721,habichuela roja,guandul,0.94319987,15140.77,revisar área,ok,ok,1,1,1,trend,"POLYGON ((-70.77859333699023 18.72093230353571, -70.77862377497686 18.72073658802233, -70.77871619726533 18.72055941356588, -70.7788615567721 18.72041812316661, -70.77904562467265 18.72032654721206, -70.77925038322677 18.72029364970114, -70.77945578943915 18.72032265082112, -70.77964173693157 18.72041071175249, -70.77979002401385 18.72054921254776, -70.77988613533644 18.72072459588522, -70.77992066274508 18.72091969411543, -70.77989022625783 18.7211154097146, -70.77979780499717 18.72129258466408, -70.77965244565398 18.72143387577534, -70.77946837699035 18.72152545238883, -70.77926361703793 18.72155835025397, -70.77905820932614 18.7215293490482, -70.77887226080594 18.72144128762379, -70.77872397356008 18.72130278611655, -70.77862786300057 18.72112740212014, -70.77859333699023 18.72093230353571))"
49,393411,guandul,auyama,37.727996999999995,16880.632,mover hacia el centro del cultivo y revisar el área,ok,ok,1,1,1,trend,"POLYGON ((-70.85904595459419 18.66406253805405, -70.85896423747354 18.66377377708029, -70.85888508499983 18.66347999806677, -70.85902749028524 18.66308916656549, -70.85921641867803 18.66312224419424, -70.8595326235337 18.66329884626474, -70.85971244946633 18.66338959219295, -70.85982459469821 18.66389506484681, -70.85972191363298 18.66408580003285, -70.85971383329722 18.66430555376881, -70.85998699806574 18.66437773686259, -70.86021498556765 18.66463010009781, -70.86028623033432 18.66491896406211, -70.86011988285192 18.66503544147884, -70.85958304667463 18.66480111490703, -70.85911582244427 18.66470588985056, -70.85898133906939 18.66436998614386, -70.85900110229431 18.66427267071509, -70.85904595459419 18.66406253805405))"
51,394011,cero,cafe,0.75455987,17257.433,revisar área,ok,ok,0,0,0,trend,"POLYGON ((-71.65201397330677 18.68027440184422, -71.65250423792212 18.67981334287747, -71.65248926248294 18.67952411144039, -71.65282008146133 18.67958430815817, -71.65310755248846 18.67950305494968, -71.65362926273755 18.67942814065124, -71.65344268190016 18.67972794434514, -71.65292184114534 18.68073897794939, -71.65265507991836 18.681093742317, -71.6518432804658 18.68074591300016, -71.65201397330677 18.68027440184422))"
52,394911,cero,pasto,0.62879992,15141.162,revisar área,ok,"ok, árboles",1,0,0,trend,"POLYGON ((-70.75022376960733 18.60703916671726, -70.75025423214876 18.60684345253771, -70.75034663424175 18.60666629267647, -70.75049193078091 18.60652502870543, -70.75067589910584 18.60643348842585, -70.75088053122296 18.60640063234521, -70.75108579651213 18.60642967659583, -70.75127160238804 18.60651777813638, -70.75141976102174 18.60665631304392, -70.75151576963668 18.60683172065696, -70.75155023013286 18.60702683094905, -70.75151976907958 18.6072225452152, -70.75142736800557 18.60739970556713, -70.751282071627 18.60754097024554, -70.75109810254293 18.60763251117898, -70.75089346903694 18.60766536761021, -70.75068820225962 18.607636323273, -70.75050239536472 18.60754822124175, -70.75035423657043 18.60740968562683, -70.75025822871463 18.60723427735994, -70.75022376960733 18.60703916671726))"
54,395911,mango,mango,1.8863997,27611.0,mover hacia el centro del cultivo y revisar el área,Se movió hacia la derecha,ok,0,0,0,trend,"POLYGON ((-70.79220490903067 18.45160512779259, -70.79234552604858 18.45053533189708, -70.79257548930427 18.45051318689675, -70.79268291040111 18.45078178453177, -70.79293613067381 18.450984096761, -70.79371438085742 18.45086190172854, -70.79356682131612 18.45178268841736, -70.79350566848619 18.45242663248809, -70.79338447452214 18.45284717670768, -70.79309152643359 18.45284994721115, -70.79271145837674 18.45252401391301, -70.79248382193441 18.4522665385371, -70.79234159507625 18.45217301909917, -70.7922199304883 18.45204435534836, -70.79220490903067 18.45160512779259))"
55,395912,mango,mango,2.2636797,35090.054,revisar área,ok,ok,0,0,0,trend,"POLYGON ((-70.80619301200301 18.45351526005603, -70.80667659675981 18.45273177553809, -70.8095391970997 18.45331359974715, -70.80936185945673 18.45436377942356, -70.80619301200301 18.45351526005603))"
56,396211,limon,limon,2.2007997,12023.341,ok,ok,ok,0,0,0,trend,"POLYGON ((-70.8846947425079 18.46057211195789, -70.8847290168995 18.46035708834642, -70.88470493079218 18.46006775569097, -70.88501852807873 18.46003967410092, -70.8854779433788 18.45995023007947, -70.88531567837931 18.46137973395599, -70.88480629126622 18.46168435760501, -70.88476051663345 18.46132534398035, -70.88463398660818 18.46123673496951, -70.88463774608796 18.46110189676291, -70.88470395282312 18.46093648186457, -70.88470133639517 18.46069686197147, -70.8846947425079 18.46057211195789))"
57,396411,guineo,plátano,1.8863997,13931.958,mover hacia el centro del cultivo,ok,ok,0,0,0,trend,"POLYGON ((-70.73766450722439 18.41155969675462, -70.73756861109962 18.4113858197897, -70.73742756728994 18.41088281939775, -70.73819448767183 18.4106860714772, -70.73830853065755 18.41110443769182, -70.73836109591916 18.41140781821711, -70.73839548246087 18.41160293921294, -70.73863336839408 18.41219991877986, -70.73789807362937 18.41242134445309, -70.73766450722439 18.41155969675462))"
