,ID,cultivo_x,cultivo_y,superf_par,area,correccion,corregido,corregido2,patca,temporary_,temporary_crop,trends,geometry
108,405511,batata,habichuela blanca,1.8863997,15125.66,"El punto se encuentra sobre la vía, mover",Se movió hacia la derecha,"ok, revisar cultivo",1,1,1,trend,"POLYGON ((-71.60971025448761 18.92181293986686, -71.60973972373482 18.92161718898813, -71.60983131299643 18.92143968518403, -71.60997605672122 18.92129780369844, -71.61015978635069 18.92120543277774, -71.61036451724944 18.92117161423147, -71.61057020912803 18.92119965839509, -71.61075672765075 18.92128682011398, -71.61090581524124 18.921424567457, -71.61100287820162 18.92159941685643, -71.61103841523222 18.92179425293461, -71.61100894752349 18.92199000383818, -71.61091735936157 18.9221675081013, -71.61077261587764 18.92230939030476, -71.61058888553818 18.92240176192796, -71.61038415324981 18.92243558089304, -71.61017845983275 18.92240753670458, -71.60999194021035 18.92232037452667, -71.60984285237899 18.92218262646578, -71.6097457901286 18.92200777636384, -71.60971025448761 18.92181293986686))"
109,407812,cafe,tayota,4.4015994,15139.284,Revisar el área,ok,"ok, revisar tipo cultivo",1,0,0,trend,"POLYGON ((-70.87874627612807 18.74605766689834, -70.87877659892426 18.74586194508866, -70.87886892325697 18.74568472938493, -70.87901421163005 18.7455433668255, -70.87919824218068 18.74545169486138, -70.87940300082386 18.74541868688879, -70.87960844455543 18.74544757390665, -70.8797944633252 18.74553552826353, -70.87994284846711 18.74567394044361, -70.88003907503422 18.74584926179957, -70.88007372359216 18.74604433074991, -70.88004340230022 18.74624005263806, -70.87995107900403 18.74641726883081, -70.87980579080384 18.746558632103, -70.8796217594964 18.74665030473139, -70.87941699945583 18.74668331306601, -70.87921155421999 18.74665442596967, -70.87902553441371 18.74656647112378, -70.8788771490989 18.74642805823094, -70.8787809232886 18.74625273621071, -70.87874627612807 18.74605766689834))"
112,115011,yuca,yuca,1.1318399,9209.002,ok,la zona de influencia contiene edificaciones y árboles,ok,0,1,1,trend,"POLYGON ((-70.49077447903807 19.21887402228981, -70.49077070431737 19.21845545203824, -70.491397076753 19.21853820817459, -70.49147541056918 19.21817581657713, -70.49176976676661 19.21824060267353, -70.49230305529557 19.21825693087078, -70.49212341889569 19.21884753594722, -70.49136061430751 19.21895358031916, -70.49077447903807 19.21887402228981))"
113,141221,tomate ensalada,tomate ensalada,1.5719998,7310.304,ok,la zona de influenca tiene árboles,ok,0,1,1,trend,"POLYGON ((-70.67012265505083 19.22685940273023, -70.66953337391841 19.22679987115981, -70.66941118404472 19.22667117456009, -70.66957234136234 19.22649496018692, -70.66988722158372 19.22644715452453, -70.67001476811383 19.22658578737311, -70.67026273895075 19.2266783872781, -70.67048322077753 19.22665141246117, -70.67074049152454 19.22662410172348, -70.67081437245182 19.22665338389828, -70.67139950863486 19.22682278885241, -70.67128085227051 19.22704355122737, -70.67072360869764 19.22703365828679, -70.67028234125456 19.22705765478375, -70.67012265505083 19.22685940273023))"
114,141421,tomate ensalada,tomate ensalada,1.5719998,6394.192,Revisar área,"se movió hacía la izquierda, la zona de influencia contiene árboles","ok, arbol",0,1,1,trend,"POLYGON ((-70.65062111594573 19.22512395986845, -70.65103286486273 19.22477574808751, -70.65144805463208 19.22477200442513, -70.65175435574155 19.22466712621859, -70.65185067428288 19.22484255475752, -70.65188520968076 19.22503767030933, -70.6518774984429 19.22514258766217, -70.65153653458566 19.22521056875308, -70.65143232108251 19.22530137812985, -70.65116523417313 19.22539864884155, -70.65062111594573 19.22512395986845))"
115,166011,yuca,yuca,1.8863997,15145.821,ok,la zona de influencia contiene árboles,ok,0,1,1,trend,"POLYGON ((-70.4024916997429 19.35281113225766, -70.40252264026134 19.35261545160952, -70.40261577402788 19.35243842325718, -70.40276198431313 19.35229737589363, -70.40294695901704 19.35220611611264, -70.40315259164424 19.35217357696321, -70.40335875364892 19.35220294355648, -70.40354526467762 19.35229134130303, -70.40369386787879 19.35243011729107, -70.40379001695432 19.35260568726491, -70.40382430004543 19.35280086530646, -70.40379336107577 19.35299654607664, -70.40370022834729 19.35317357496097, -70.40355401819286 19.35331462306323, -70.40336904266253 19.35340588350752, -70.40316340856739 19.35343842299148, -70.40295724501392 19.35340905627617, -70.40277073294718 19.35332065799765, -70.4026221296152 19.35318188127088, -70.40252598136605 19.35300631063374, -70.4024916997429 19.35281113225766))"
116,166211,tindora,tindora,0.44015995,6606.571,Revisar área,"se movió hacía la izquierda, la zona de influencia contiene árboles y edificaciones",ok,0,0,0,trend,"POLYGON ((-70.43009888435986 19.35177044548717, -70.42967102697897 19.35156908754131, -70.4293121615266 19.35143709049822, -70.4291969598339 19.35149791171047, -70.42847553499864 19.35141369552749, -70.42849048963774 19.35131870933484, -70.42897951043524 19.35129490084444, -70.42919995866103 19.35123824703578, -70.42922995403539 19.35105826009807, -70.42961424935858 19.35109019578951, -70.42974996915264 19.35096929609331, -70.42991885938525 19.35103288051676, -70.4297847928528 19.35134350507828, -70.43045418193483 19.35149303500002, -70.43009888435986 19.35177044548717))"
117,215811,yuca,tabaco,1.2575998,15137.164,Revisar área,la zona de influencia contiene árboles,ok,0,1,1,trend,"POLYGON ((-71.01904459508714 19.6747915049582, -71.01907481227519 19.67459577826287, -71.0191674016543 19.67441847612214, -71.01931329977424 19.67427695403206, -71.01949822508359 19.67418506505422, -71.01970407591773 19.67415180382233, -71.01991070237268 19.6741804261228, -71.02009787863797 19.67426813021663, -71.02024728275327 19.67440633108885, -71.02034429002974 19.67458150078181, -71.02037940460619 19.67477649256517, -71.02034918901327 19.67497221933931, -71.02025660073717 19.67514952199268, -71.02011070280678 19.6752910448334, -71.01992577670111 19.67538293451316, -71.01971992438897 19.67541619613015, -71.01951329633884 19.67538757375087, -71.01932611897055 19.67529986914441, -71.01917671466572 19.67516166752155, -71.01907970818557 19.67498649712667, -71.01904459508714 19.6747915049582))"
118,217211,yuca,tabaco,3.1439996,15373.805,"Punto sobre la vía, centrar hacía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles",ok,0,1,1,trend,"POLYGON ((-71.03392341314132 19.65175060378096, -71.03498515104921 19.65196321364185, -71.0346444128589 19.65335476361485, -71.03379885213869 19.65315468165214, -71.0339334805786 19.65254916230203, -71.03392341314132 19.65175060378096))"
124,261711,yuca,pasto,4.4015994,10853.013,Punto sobre la vía mover hacía arriba,"se movió hacia arriba, la zona de influencia contiene árboles",ok,0,1,0,no trend,"POLYGON ((-71.31273123523525 19.52724653676614, -71.31286985429401 19.52703296362466, -71.31293250276335 19.52684102616093, -71.31291336577441 19.5266449697291, -71.31313160319306 19.52673572305309, -71.31387998660087 19.5275676084056, -71.31347878907664 19.52770413174205, -71.31287094698641 19.52787497923941, -71.31273461803616 19.52748412147406, -71.31204433875503 19.52721916644917, -71.31240586375 19.52697174632456, -71.31273123523525 19.52724653676614))"
130,310111,yuca,yuca,1.5719998,18655.49,"Punto sobre vía, mover hacía arriba","se movió hacia arriba, la zona de influencia contiene árboles",ok,0,1,1,trend,"POLYGON ((-71.05362186562175 19.85720942486341, -71.05375782980708 19.85674288580815, -71.05425884689663 19.85663895022453, -71.05474514782441 19.85666434182492, -71.05488842739902 19.85676601679334, -71.05520288391882 19.85701554177876, -71.05563878362597 19.85736699228524, -71.05505107749622 19.85752359514419, -71.05389643553714 19.85775389419995, -71.05349781743202 19.85775332189495, -71.05342085806589 19.85728923657657, -71.05362186562175 19.85720942486341))"
131,310611,yuca,melon,1.5719998,13026.186,centrar,"mover hacia la izquierda, la zona de influencia contiene árboles",ok,1,1,1,trend,"POLYGON ((-71.03619105304587 19.85487568383093, -71.03610039181407 19.85418958815406, -71.03768733853033 19.85403195841589, -71.03782714240904 19.85471749087055, -71.03619105304587 19.85487568383093))"
133,312121,yuca,yuca,1.8863997,23966.772,Revisar área,se movió hacia arriba,ok,0,1,1,trend,"POLYGON ((-70.52018995851583 19.44339586217293, -70.52251972081508 19.44378457447604, -70.52247464788509 19.44420870707314, -70.52228934582222 19.4441999267625, -70.52214670379225 19.44467655545246, -70.52005641497981 19.44426516155729, -70.52018995851583 19.44339586217293))"
135,312811,yuca,batata,2.2007997,24423.008,Punto sobre la vía mover hacía abajo,"se movió hacia abajo, la zona de influencia contiene árboles",ok,0,1,1,trend,"POLYGON ((-71.05257270981073 19.85520555488475, -71.05355084430856 19.85441416650784, -71.05545167259145 19.85573550599183, -71.05346572990304 19.85586172760254, -71.05257270981073 19.85520555488475))"
136,318311,yuca,plátano,1.4462398,9776.515,"Punto sobre la vía, mover hacía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles",ok,1,1,0,no trend,"POLYGON ((-71.02915878600626 19.85496673941133, -71.02900045065351 19.85539735492205, -71.0287004269081 19.85585024900255, -71.02829076623991 19.85541059976378, -71.02870650092426 19.85461023904036, -71.02999759230184 19.85480219445241, -71.02996766092349 19.85502469131687, -71.02915878600626 19.85496673941133))"
137,322211,yuca,yuca,1.3204799,15140.713,ok,ok,ok,1,1,1,trend,"POLYGON ((-70.79302508434162 19.53475961977337, -70.79305556825099 19.53456390758535, -70.79314835034894 19.53438670517694, -70.79329434832418 19.5342453582808, -70.79347927085382 19.53415370281005, -70.79368501654676 19.53412071054322, -70.79389144579019 19.53414961094122, -70.79407835207533 19.53423757504513, -70.79422743986585 19.53437599238932, -70.79432411543389 19.53455131382558, -70.79435891538675 19.5347463777678, -70.79432843305348 19.53494209005025, -70.79423565203336 19.53511929297771, -70.79408965422597 19.53526064061928, -70.79390473089008 19.53535229677708, -70.79369898372477 19.53538528941017, -70.79349255290524 19.53535638891776, -70.79330564554228 19.53526842429478, -70.79315655758391 19.53513000620519, -70.79305988282213 19.53495468408186, -70.79302508434162 19.53475961977337))"
138,322821,yuca,batata,4.0871997,6859.641,Revisar el área,la zona de influencia contiene árboles,"ok, arboles",0,1,1,trend,"POLYGON ((-70.48011075338093 19.4167635601592, -70.47952552247074 19.41649233897698, -70.47968937300936 19.41615532715158, -70.47923162494619 19.41587135796179, -70.47938740794235 19.41573769208114, -70.48022069579018 19.41614074455904, -70.48063454070923 19.41631872116514, -70.48011075338093 19.4167635601592))"
142,329611,plátano,plátano,0.94319987,8961.414,"Punto sobre la vía, mover hacía arriba",mover hacía arriba y a la izquierda,ok,0,0,0,trend,"POLYGON ((-71.02035141220959 19.84157774004686, -71.02074112306774 19.84055151596972, -71.02147872991959 19.84074362242314, -71.02098507468223 19.84174202923761, -71.02035141220959 19.84157774004686))"
144,331411,plátano,plátano,1.5719998,7174.461,"Punto sobre la copa de un árbol, mover hacía la izquierda y arriba",se movió hacía la izquierda y arriba,ok,1,0,0,trend,"POLYGON ((-71.03366008656454 19.84355681840979, -71.03482461410378 19.8427086180142, -71.0350820944132 19.84299257108099, -71.03389186452721 19.84394890252561, -71.03366008656454 19.84355681840979))"
145,332411,plátano,pasto,0.37727994,7359.46,"Punto sobre la vía, mover hacía abajo","se movió hacia abajo y a la izquierda, la zona de influencia contiene edificaciones","ok, edificacion",1,0,0,trend,"POLYGON ((-70.99279249194942 19.81532618340593, -70.99344633472187 19.81564106951375, -70.99358127814214 19.81570790508602, -70.99321300482775 19.81637103453386, -70.99298031398988 19.81632481647741, -70.99263257919817 19.81615296047662, -70.99272856197871 19.81599079593937, -70.99255733450134 19.81590971988849, -70.99279249194942 19.81532618340593))"
146,332711,plátano,plátano,5.030399299999999,16173.254,Centrar hacía abajo,se movió hacia abajo y a la izquierda,ok,1,0,0,trend,"POLYGON ((-71.04747097133043 19.84728231237535, -71.0478210465194 19.84634734594272, -71.04867973430252 19.84650024648015, -71.04889471332567 19.84654676214276, -71.04855154740636 19.84752236967365, -71.04816066756618 19.8479650421304, -71.04747097133043 19.84728231237535))"
147,334511,plátano,plátano,1.8863997,11517.919,"Punto sobre copa de árbol, podría moverse hacía arriba o abajo","se movió hacia abajo, la zona de influencia contiene edificaciones",ok,0,0,0,trend,"POLYGON ((-70.48798251355809 19.38387734214825, -70.48808215229049 19.38339151052493, -70.48787920283712 19.38331965524416, -70.4879190485761 19.38285732631488, -70.4889022935639 19.3831191828744, -70.48889508468919 19.38367250844015, -70.48859344043055 19.38431766544466, -70.48798251355809 19.38387734214825))"
148,335012,plátano,plátano,1.8863997,15137.304,Revisar área y tipo de cultivo,se movió hacia abajo y a la derecha,ok,0,0,0,trend,"POLYGON ((-71.0125703976823 19.79324265500422, -71.01260063102416 19.7930469291719, -71.01269328341589 19.79286962594167, -71.01283928523817 19.79272810091564, -71.01302434478853 19.7926362074421, -71.01323034726286 19.79260294059427, -71.01343712791522 19.79263155670815, -71.01362444584277 19.79271925465058, -71.01377396521926 19.79285745000935, -71.01387105007329 19.79303261536719, -71.01390619694882 19.79322760441866, -71.01387596521327 19.7934233303317, -71.01378331393138 19.79360063407877, -71.01363731229853 19.79374215986037, -71.01345225194486 19.79383405403959, -71.01324624798129 19.79386732127366, -71.01303946572263 19.79383870507906, -71.01285214668525 19.79375100661977, -71.01270262711932 19.79361281050544, -71.01260554306862 19.79343764444193, -71.0125703976823 19.79324265500422))"
149,337412,plátano,plátano,0.94319987,13596.86,"Punto sobre la vía, podria moverse hacia abajo o arriba","se movió hacia abajo, la zona de influenciacontiene edificaciones","ok, arboles edificaciones",0,0,0,trend,"POLYGON ((-70.60748668493633 19.42817380012633, -70.60797785860905 19.42611442873791, -70.6084527685653 19.42614334550757, -70.60808532714741 19.42825832532335, -70.60787965824309 19.42829109976737, -70.60767338011881 19.42826197436415, -70.60748668493633 19.42817380012633))"
150,355811,yuca,ají,1.2575998,15125.198,Revisar el tipo de cultivo,Revisar el tipo de cultivo,ok,0,1,1,trend,"POLYGON ((-71.623459975896 18.39425613932408, -71.62348941970643 18.39406038959071, -71.62358078472687 18.39388290668446, -71.62372512736071 18.39374106380611, -71.62390831831128 18.39364874542599, -71.62411242566874 18.39361498821301, -71.62431747017342 18.39364309649977, -71.62450338085219 18.39373031885384, -71.62465195962427 18.39386811740617, -71.62474866259829 18.39404300357325, -71.62478402371659 18.39423785837588, -71.62475458139596 18.39443360812698, -71.62466321744427 18.39461109147452, -71.62451887504986 18.39475293504915, -71.62433568341797 18.39484525411462, -71.62413157471866 18.39487901174023, -71.62392652872417 18.39485090343574, -71.62374061697668 18.39476368064038, -71.62359203796515 18.39462588139175, -71.62349533567246 18.39445099453933, -71.623459975896 18.39425613932408))"
151,38911,mango,mango,1.6977597,15146.586,mover hacia el centro del cultivo y revisar el área,Se movió hacia la izquierda,ok,0,0,0,trend,"POLYGON ((-70.32474645658257 18.29156405919715, -70.32477737954802 18.29136837643622, -70.32487009155521 18.29119139906448, -70.32501551716915 18.291050450789, -70.32519942110038 18.29095932851027, -70.32540380166073 18.29092695182316, -70.32560865285207 18.29095648993872, -70.32579392261819 18.29104505147672, -70.32594147560128 18.29118396748792, -70.32603686830448 18.29135964000401, -70.32607076291536 18.2915548730638, -70.32603984139817 18.29175055593981, -70.32594713036073 18.29192753381242, -70.3258017048676 18.29206848278321, -70.32561780016209 18.29215960568612, -70.32541341822814 18.29219198268786, -70.32520856558854 18.29216244445722, -70.32502329485267 18.29207388241836, -70.32487574174877 18.29193496571185, -70.32478034981986 18.29175929257158, -70.32474645658257 18.29156405919715))"
152,39311,mango,mango,4.4015994,14407.398,mover hacia el centro del cultivo,Se movió hacia abajo,ok,0,0,0,trend,"POLYGON ((-70.45914202823758 18.22986507109254, -70.45877275479701 18.22944841953557, -70.45826337950153 18.22852348517032, -70.45847933444668 18.22838463989272, -70.45866309568108 18.22829339789119, -70.4588673684792 18.22826088503493, -70.45907215739005 18.22829028386289, -70.45925741645357 18.22837871662775, -70.45941121236622 18.22926105583127, -70.45968509292152 18.2298159926405, -70.45914202823758 18.22986507109254))"
153,46611,cero,plátano,2.4837596,5979.754,revisar área,ok,ok,0,0,0,trend,"POLYGON ((-70.49774873973361 18.21891426771886, -70.49709816769456 18.21891185865666, -70.49673830671422 18.21899206831321, -70.49644853436331 18.2190192980385, -70.49643432903042 18.21857997697886, -70.49686508906089 18.21854165953862, -70.497419062213 18.21855231428492, -70.49772461516093 18.21853744373077, -70.49774873973361 18.21891426771886))"
154,54411,mango,plátano,5.5963192,15146.958,revisar área,ok,ok,0,0,0,trend,"POLYGON ((-70.29369040936365 18.40416751091696, -70.2937213789791 18.40397183199217, -70.29381417588095 18.40379486601038, -70.29395971632354 18.403653935563, -70.29414375377755 18.40356283580472, -70.29434827348585 18.40353048412562, -70.29455325583112 18.4035600472889, -70.29473863592024 18.40364863146303, -70.29488626759685 18.40378756548371, -70.29498169966058 18.40396324962039, -70.29501559044503 18.40415848677473, -70.29498462228734 18.40435416581832, -70.29489182635953 18.40453113230612, -70.29474628603519 18.40467206345346, -70.2945622477985 18.40476316383828, -70.2943577267055 18.40479551583117, -70.29415274290244 18.40476595254908, -70.29396736183928 18.40467736786893, -70.29381973004443 18.40453843314831, -70.29372429876339 18.40436274838508, -70.29369040936365 18.40416751091696))"
155,56811,mango,mango,3.5841596,15144.712,mover hacia el centro del cultivo y revisar el área,ok,ok,0,0,0,trend,"POLYGON ((-70.48561416425416 18.21985112981072, -70.4856448983667 18.21965543279662, -70.48573740892995 18.21947838991579, -70.48588264022666 18.21933733128922, -70.4860663759864 18.21924606461978, -70.48627063098056 18.21921352363563, -70.48647541150065 18.21924289362878, -70.48666067240796 18.21933129967414, -70.48680827921288 18.21947008804174, -70.48690378315213 18.21964567325747, -70.486937835527 18.21984086790638, -70.48690710286031 18.22003656502251, -70.48681459327422 18.22021360839416, -70.48666936211276 18.22035466771284, -70.48648562559471 18.22044593501132, -70.4862813692383 18.22047847632117, -70.48607658727235 18.22044910622598, -70.48589132538785 18.22036069968982, -70.48574371844769 18.22022191063012, -70.48564821526678 18.22004632478533, -70.48561416425416 18.21985112981072))"
156,79311,cero,guineo,1.5719998,15126.119,ok,ok,ok,0,0,0,trend,"POLYGON ((-71.60103164616473 19.72878669201118, -71.60106114630436 19.72859093990545, -71.60115308383472 19.72841340076388, -71.60129845910657 19.72827145328564, -71.60148304174075 19.72817899217223, -71.60168876360997 19.72814506805802, -71.60189548743222 19.72817300161072, -71.60208297786876 19.72826005850449, -71.60223288221256 19.72839771707301, -71.6023305268167 19.72857250244314, -71.60236635343996 19.72876730550867, -71.60233685491495 19.72896305764927, -71.6022449185335 19.72914059727658, -71.60209954350596 19.7292825455059, -71.60191496011821 19.72937500734883, -71.60170923678537 19.72940893189236, -71.60150251134847 19.7293809983048, -71.60131501976302 19.72929394092529, -71.60116511517491 19.7291562816057, -71.60106747132434 19.72898149550604, -71.60103164616473 19.72878669201118))"
157,79312,cero,guineo,1.5719998,15126.414,revisa área,ok,ok,0,0,0,trend,"POLYGON ((-71.58636163570415 19.72943163769303, -71.58639115406889 19.72923588598287, -71.58648310906405 19.72905835251505, -71.58662849933093 19.72891641543323, -71.58681309302276 19.72882396842124, -71.58701882093003 19.7287900607332, -71.58722554517976 19.72881801142903, -71.58741303039135 19.728905084505, -71.58756292436902 19.72904275671085, -71.58766055448039 19.72921755183854, -71.58769636390275 19.72941235982664, -71.58766684715235 19.72960811157279, -71.58757489330509 19.72978564552709, -71.58742950328116 19.72992758336006, -71.58724490883455 19.73002003110096, -71.58703917946309 19.73005393921723, -71.58683245359902 19.7300259884854, -71.58664496723955 19.72993891492295, -71.58649507301892 19.72980124196595, -71.58639744366232 19.72962644610935, -71.58636163570415 19.72943163769303))"
158,131611,cero,chinola,1.5719998,15146.184,revisar área,Se movió hacia la derecha,ok,0,0,0,trend,"POLYGON ((-70.36499698990329 18.85885920031224, -70.36502792359725 18.85866351879716, -70.36512085892333 18.85848651507972, -70.36526669858142 18.85834551544354, -70.36545116675178 18.85825432181337, -70.36565620651855 18.8582218607655, -70.365861747363 18.8582513097673, -70.36604766972843 18.85833978616217, -70.36619577438121 18.85847862933762, -70.36629156382392 18.85865424845832, -70.3663256614046 18.85884945279271, -70.36629472921224 18.85904513442669, -70.36620179489205 18.85922213866164, -70.36605595535993 18.85936313901627, -70.36587148638749 18.85945433329142, -70.36566644519696 18.85948679466442, -70.36546090285093 18.85945734554373, -70.36527497947961 18.85936886863135, -70.36512687470085 18.85923002473744, -70.36503108606021 18.85905440497178, -70.36499698990329 18.85885920031224))"
160,223911,guineo,guineo,20.121597,14557.005,mover hacia el centro del cultivo y revisar área,Se movió hacia la derecha,ok,0,0,0,trend,"POLYGON ((-70.9372290251135 19.56376310962687, -70.93716493915515 19.56341762272686, -70.93721133511212 19.56319495265878, -70.93734157983155 19.56314705321833, -70.93894561045252 19.56355185882684, -70.93898059121761 19.56374687936786, -70.93895028343385 19.563942601483, -70.9388576536135 19.56411986651608, -70.93826959516682 19.56417561141218, -70.93782158021082 19.56408742131535, -70.93768161142309 19.56395622994713, -70.9372290251135 19.56376310962687))"
161,225211,guineo,plátano,1.8863997,15126.588,mover hacia el centro del cultivo,ok,ok,0,0,0,trend,"POLYGON ((-71.57922033647617 19.80042764422732, -71.57924986593704 19.80023189263967, -71.57934186023165 19.80005435864296, -71.57948731415391 19.79991242043229, -71.57967198962599 19.79981997180155, -71.57987780943381 19.799786062163, -71.58008462670949 19.79981401076746, -71.58027219696731 19.79990108181608, -71.58042215968719 19.80003875225745, -71.58051983550772 19.80021354605666, -71.58055566313121 19.80040835328263, -71.58052613529129 19.80060410490767, -71.58043414214848 19.80078163939352, -71.5802886884689 19.80092357835832, -71.58010401223765 19.80101602772007, -71.57989819095884 19.80104993778731, -71.57969137206219 19.80102198914549, -71.57950380065256 19.80093491760769, -71.57935383769001 19.80079724641221, -71.57925616262865 19.80062245188199, -71.57922033647617 19.80042764422732))"
162,226513,cero,pasto,22.007998,14590.85,revisar área,Se movio hacia la izquierda y arriba,ok,0,0,0,trend,"POLYGON ((-71.39697690134498 19.55725245742415, -71.39700664726887 19.55705671191549, -71.3970987473662 19.5568792603836, -71.39724418607823 19.55673747295117, -71.39802799444438 19.55672705886555, -71.39812315109032 19.55687305565232, -71.39828065565003 19.55743048498065, -71.39830227867472 19.5575628606772, -71.39840683861213 19.55800054387617, -71.39785857668763 19.55784197019149, -71.39688983177074 19.55748864731653, -71.39697690134498 19.55725245742415))"
163,226512,cero,pasto,2.2636797,17404.974,el punto esta sobre la vía mover hacia la izquierda,Se movió hacia la izquierda,ok,0,0,0,trend,"POLYGON ((-71.40475686335724 19.5489449825835, -71.40460348180345 19.54889020475901, -71.40496913569616 19.54782639615636, -71.40543971391482 19.54795959622609, -71.40564541791741 19.54823579466778, -71.40593629641722 19.54837655343895, -71.40605107389908 19.54876760511605, -71.40607232125183 19.54909499165164, -71.40586598117324 19.5495139106248, -71.40475686335724 19.5489449825835))"
164,251511,cero,,1.1947198,12362.612,mover hacia el centro del cultivo,Se movió hacia la derecha,ok,0,0,0,trend,"POLYGON ((-71.2350979002384 19.62087179093917, -71.23533316069822 19.61928346982778, -71.23537226597753 19.61902928820192, -71.23575446868857 19.61907103503739, -71.23604881469564 19.61906737855979, -71.23574293462471 19.6202076976338, -71.23565360769695 19.62084422483978, -71.2350979002384 19.62087179093917))"
165,258121,guineo,guineo,3.1439996,10270.737,zona de influencia contiene edificaciones,Se movió hacia abajo,ok,0,0,0,trend,"POLYGON ((-70.94467493457125 19.56513181086354, -70.94476889814771 19.56432770761823, -70.94588113703281 19.56435188355858, -70.94584206739252 19.56455216691451, -70.94587705666191 19.56474718536768, -70.94571776642486 19.56481865456166, -70.94562109169927 19.56493853274305, -70.94554565904869 19.56501168090847, -70.94526789263138 19.56503017613091, -70.94521766190974 19.56538660971323, -70.94501118139928 19.56535788804974, -70.94482417025004 19.56527009032455, -70.94467493457125 19.56513181086354))"
166,259412,cero,pasto,1.0060799,27981.986,el punto esta sobre la vía mover hacia la izquierda,Se movió hacia la izquierda y hacia abajo,ok,0,0,0,trend,"POLYGON ((-71.3255147140935 19.45238382267806, -71.32510234519729 19.45196293165928, -71.32489028552163 19.4516040435264, -71.32572173437624 19.45147973029211, -71.32648313471408 19.45140797055863, -71.32711460163259 19.45177180465685, -71.3268120224698 19.45217181528716, -71.32619008319477 19.45300735569874, -71.32589150413087 19.4530737919151, -71.32549071393098 19.45322874300077, -71.3251412763485 19.45278379872914, -71.32509962772423 19.45253637327425, -71.3255147140935 19.45238382267806))"
167,259511,cero,pasto,6.6023993,14433.927,mover hacia el centro del cultivo y revisar el área,Se movió hacia la derecha,ok,0,0,0,trend,"POLYGON ((-71.3194276857873 19.41918771721498, -71.31945752055189 19.41899197464583, -71.31954964914645 19.4188145594781, -71.31969505322475 19.41867283827502, -71.31987949959174 19.41858068359037, -71.32008493345975 19.41854711606641, -71.32029124573558 19.41857542146887, -71.32076012918915 19.41917068806384, -71.32073029600289 19.41936643068579, -71.32063816851755 19.41954384634302, -71.3204927646557 19.41968556828532, -71.32030831752971 19.41977772367655, -71.32010288221718 19.41981129160455, -71.31989656836305 19.41978298614928, -71.31970957162901 19.41969557805339, -71.31956019671584 19.41955762349985, -71.31946306551154 19.41938262654658, -71.3194276857873 19.41918771721498))"
168,261612,cero,limon,9.4319992,12333.74,mover hacia el centro del cultivo y revisar el área,Se movió hacia la derecha,"ok, arbustos",0,0,0,trend,"POLYGON ((-71.48430804459325 19.33808015461432, -71.48244190352685 19.33738243765648, -71.48267698730746 19.33709806132492, -71.48282217037008 19.3369562314287, -71.48330170301405 19.33702463634424, -71.48438711938047 19.33755220465567, -71.48430804459325 19.33808015461432))"
169,261611,cero,,3.7727995,15134.742,revisar área,ok,"ok, arboles",0,0,0,trend,"POLYGON ((-71.1566121916232 19.38725401728909, -71.15664222276408 19.38705828206758, -71.15673452306616 19.38688093321025, -71.15688005737719 19.3867393307884, -71.15706457975627 19.38664733572882, -71.15727002797664 19.38661395304973, -71.15747629154055 19.38664245042473, -71.15766318015643 19.38673003834145, -71.15781240002003 19.38686814315483, -71.15790934447998 19.38704324630838, -71.15794452382774 19.38723820758458, -71.15791449425814 19.38743394287098, -71.15782219505147 19.38761129222476, -71.15767666094158 19.38775289538499, -71.15749213779256 19.38784489114285, -71.15728668812524 19.3878782742134, -71.15708042299005 19.38784977677351, -71.15689353327875 19.38776218836035, -71.15674431321401 19.38762408280859, -71.15664736952401 19.38744897895677, -71.1566121916232 19.38725401728909))"
170,262712,cero,pasto,30.182396,15132.419,mover hacia el centro del cultivo y revisar el área,Se movió hacia la izquierda y arriab,"ok, arboles",0,0,0,trend,"POLYGON ((-71.2856927507756 19.51191554166214, -71.28572263106494 19.51171980061446, -71.28581483937204 19.51154239517117, -71.28596034954735 19.51140069094291, -71.28614491801072 19.51130855882129, -71.28635047802389 19.51127501723973, -71.28655690814709 19.5113033494247, -71.28674400178689 19.51139078203257, -71.28689344507225 19.51152875662068, -71.28699060948357 19.51170376738057, -71.28702598378239 19.51189868314029, -71.28699610507934 19.51209442424445, -71.28690389788471 19.51227183018194, -71.28675838792316 19.51241353515334, -71.28657381869316 19.51250566798319, -71.28636825722582 19.51253920996756, -71.28616182551633 19.5125108777261, -71.28597473076407 19.51242344462404, -71.28582528726496 19.51228546929279, -71.28572812362026 19.51211045782467, -71.2856927507756 19.51191554166214))"
