cuest_id_b,cuest_id,time,parcela,cultivo,temporary_crop,age,gender,superf_parcela_has,Y,X,provparcela_cod,munparcela_cod,month_siembra,year_siembra,since_siembra,month_harvest,year_harvest,VP_HA,treat_status_fu,patca
2264,H1084,0. Baseline,11,pasto,0,52,Male,1.8863997,19.454456,-71.364475,santiago rodriguez,san ignacio de sabaneta,marzo,2005,2005,,,1017.984924316406,0. Pure Control,0
2265,H1112,0. Baseline,13,,0,34,Male,22.007998,19.556744,-71.39803000000001,santiago rodriguez,san ignacio de sabaneta,,,,,,0,0. Pure Control,0
2265,H1112,0. Baseline,12,,0,34,Male,2.2636797,19.54861,-71.40458099999999,santiago rodriguez,san ignacio de sabaneta,,,,,,0,0. Pure Control,0
2265,H1112,0. Baseline,11,pasto,0,34,Male,1.2575998,19.54862,-71.40453599999999,santiago rodriguez,san ignacio de sabaneta,marzo,2008,2008,,,0,0. Pure Control,0
2268,H1079,0. Baseline,11,yuca,1,57,Male,2.1379197,19.430139,-71.437254,santiago rodriguez,san ignacio de sabaneta,mayo,2011,1987,abril,2012,1809.7509765625,0. Pure Control,0
2268,H1079,0. Baseline,11,pasto,0,57,Male,2.1379197,19.430139,-71.437254,santiago rodriguez,san ignacio de sabaneta,no recuerda,1987,1987,,,1809.7509765625,0. Pure Control,0
2362,H1193,0. Baseline,11,pasto,0,64,Male,8.8031988,19.672642,-71.678596,monte cristi,pepillo salcedo manzanillo,no recuerda,1980,1980,,,0,0. Pure Control,0
2380,H0992,0. Baseline,22,pasto,0,87,Male,5.7849593,19.530489,-71.449219,dajabón,partido,mayo,2005,2006,,,0,0. Pure Control,0
2380,H0992,0. Baseline,21,pasto,0,87,Male,5.7849593,19.53076,-71.44937899999999,dajabón,partido,no recuerda,2006,2006,,,0,0. Pure Control,0
2380,H0992,0. Baseline,22,pasto,0,87,Male,5.7849593,19.530489,-71.449219,dajabón,partido,mayo,2006,2006,,,0,0. Pure Control,0
2380,H0992,0. Baseline,21,pasto,0,87,Male,5.7849593,19.53076,-71.44937899999999,dajabón,partido,mayo,2011,2006,,,0,0. Pure Control,0
2390,H0983,0. Baseline,12,pasto,0,59,Male,2.5151997,19.55032,-71.539886,dajabón,partido,mayo,2011,1998,,,0,0. Pure Control,0
2390,H0983,0. Baseline,12,pasto,0,59,Male,2.5151997,19.55032,-71.539886,dajabón,partido,no recuerda,1998,1998,,,0,0. Pure Control,0
2390,H0983,0. Baseline,13,pasto,0,59,Male,5.0303993,19.55143,-71.537682,dajabón,partido,no recuerda,1998,1998,,,0,0. Pure Control,0
2390,H0983,0. Baseline,11,pasto,0,59,Male,5.0303993,19.551079,-71.53771999999999,dajabón,partido,no recuerda,1998,1998,,,0,0. Pure Control,0
2436,H0969,0. Baseline,13,pasto,0,52,Male,3.0811195,19.548059,-71.52291099999999,dajabón,partido,no recuerda,1987,1987,,,0,0. Pure Control,0
2436,H0969,0. Baseline,12,pasto,0,52,Male,5.6591992,19.5467,-71.515327,dajabón,partido,enero,1997,1997,,,0,0. Pure Control,0
2436,H0969,0. Baseline,13,pasto,0,52,Male,3.0811195,19.548059,-71.52291099999999,dajabón,partido,mayo,2010,1997,,,0,0. Pure Control,0
2436,H0969,0. Baseline,11,pasto,0,52,Male,12.575998,19.549089,-71.510147,dajabón,partido,no recuerda,1997,1997,,,0,0. Pure Control,0
2436,H0969,0. Baseline,11,pasto,0,52,Male,12.575998,19.549089,-71.510147,dajabón,partido,mayo,2008,1997,,,0,0. Pure Control,0
2437,H0963,0. Baseline,12,pasto,0,48,Male,2.3265598,19.511869,-71.54274700000001,dajabón,partido,octubre,2008,no recuerda,,,0,0. Pure Control,0
2437,H0963,0. Baseline,21,pasto,0,48,Male,1.6348798,19.51182,-71.542839,dajabón,partido,mayo,no recuerda,1988,,,0,0. Pure Control,0
2437,H0963,0. Baseline,11,pasto,0,48,Male,5.3447995,19.51186,-71.54273999999999,dajabón,partido,octubre,1988,no recuerda,,,0,0. Pure Control,0
2437,H0963,0. Baseline,13,pasto,0,48,Male,.75455987,19.511909,-71.54274700000001,dajabón,partido,junio,1988,1988,,,0,0. Pure Control,0
2437,H0963,0. Baseline,14,pasto,0,48,Male,.50303996,19.47629,-71.541771,dajabón,partido,mayo,2010,1988,,,0,0. Pure Control,0
2439,H0965,0. Baseline,12,pasto,0,54,Male,5.0303993,19.526709,-71.494469,dajabón,partido,no recuerda,no recuerda,no recuerda,,,0,0. Pure Control,0
2439,H0965,0. Baseline,11,pasto,0,54,Male,8.1743994,19.526539,-71.494438,dajabón,partido,no recuerda,no recuerda,no recuerda,,,0,0. Pure Control,0
