,cultivo,count,percent,cumulative_count,cumulative_percent
0,pasto,143,32.87356321839081,143,32.87356321839081
1,cero,73,16.7816091954023,216,49.6551724137931
2,plátano,42,9.655172413793103,258,59.310344827586206
3,yuca,25,5.747126436781609,283,65.05747126436782
4,maiz grano/mazorca,14,3.218390804597701,297,68.27586206896552
5,habichuela roja,12,2.7586206896551726,309,71.03448275862068
6,habichuela negra,11,2.528735632183908,320,73.5632183908046
7,aguacate,11,2.528735632183908,331,76.0919540229885
8,limon,10,2.2988505747126435,341,78.39080459770115
9,cafe,10,2.2988505747126435,351,80.6896551724138
10,guineo,8,1.839080459770115,359,82.5287356321839
11,guandul,8,1.839080459770115,367,84.36781609195401
12,batata,8,1.839080459770115,375,86.20689655172413
13,tabaco,6,1.3793103448275863,381,87.58620689655172
14,mango,6,1.3793103448275863,387,88.96551724137932
15,cebolla,5,1.1494252873563218,392,90.11494252873563
16,cereza,4,0.9195402298850575,396,91.0344827586207
17,berenjena,4,0.9195402298850575,400,91.95402298850574
18,auyama,4,0.9195402298850575,404,92.87356321839081
19,arroz,4,0.9195402298850575,408,93.79310344827586
20,habichuela blanca,3,0.6896551724137931,411,94.48275862068965
21,ají,3,0.6896551724137931,414,95.17241379310344
22,tomate industrial,2,0.45977011494252873,416,95.63218390804597
23,tomate ensalada,2,0.45977011494252873,418,96.0919540229885
24,tindora,2,0.45977011494252873,420,96.55172413793103
25,lechoza,2,0.45977011494252873,422,97.01149425287356
26,chinola,2,0.45977011494252873,424,97.47126436781609
27,ñame,1,0.22988505747126436,425,97.70114942528735
28,vainitas,1,0.22988505747126436,426,97.93103448275862
29,tayota,1,0.22988505747126436,427,98.16091954022988
30,sandia,1,0.22988505747126436,428,98.39080459770115
31,melon indu,1,0.22988505747126436,429,98.62068965517241
32,mani,1,0.22988505747126436,430,98.85057471264368
33,espinaca,1,0.22988505747126436,431,99.08045977011494
34,cundeamor chino,1,0.22988505747126436,432,99.3103448275862
35,cilantro verde,1,0.22988505747126436,433,99.54022988505747
36,caña(no de azucar),1,0.22988505747126436,434,99.77011494252874
37,berenjenas chinas,1,0.22988505747126436,435,100.0
