,cultivo,count,percent,cumulative_count,cumulative_percent
0,pasto,143,39.50276243093923,143,39.50276243093923
1,plátano,42,11.602209944751381,185,51.10497237569061
2,yuca,25,6.906077348066299,210,58.011049723756905
3,maiz grano/mazorca,14,3.867403314917127,224,61.87845303867403
4,habichuela roja,12,3.314917127071823,236,65.19337016574586
5,habichuela negra,11,3.0386740331491713,247,68.23204419889503
6,aguacate,11,3.0386740331491713,258,71.27071823204419
7,limon,10,2.7624309392265194,268,74.03314917127072
8,cafe,10,2.7624309392265194,278,76.79558011049724
9,guineo,8,2.209944751381215,286,79.00552486187846
10,guandul,8,2.209944751381215,294,81.21546961325967
11,batata,8,2.209944751381215,302,83.42541436464089
12,tabaco,6,1.6574585635359116,308,85.0828729281768
13,mango,6,1.6574585635359116,314,86.74033149171271
14,cebolla,5,1.3812154696132597,319,88.12154696132598
15,cereza,4,1.1049723756906076,323,89.22651933701657
16,berenjena,4,1.1049723756906076,327,90.33149171270718
17,auyama,4,1.1049723756906076,331,91.4364640883978
18,arroz,4,1.1049723756906076,335,92.5414364640884
19,habichuela blanca,3,0.8287292817679558,338,93.37016574585635
20,ají,3,0.8287292817679558,341,94.1988950276243
21,tomate industrial,2,0.5524861878453038,343,94.7513812154696
22,tomate ensalada,2,0.5524861878453038,345,95.30386740331491
23,tindora,2,0.5524861878453038,347,95.85635359116023
24,lechoza,2,0.5524861878453038,349,96.40883977900553
25,chinola,2,0.5524861878453038,351,96.96132596685084
26,ñame,1,0.2762430939226519,352,97.23756906077348
27,vainitas,1,0.2762430939226519,353,97.51381215469614
28,tayota,1,0.2762430939226519,354,97.79005524861878
29,sandia,1,0.2762430939226519,355,98.06629834254143
30,melon indu,1,0.2762430939226519,356,98.34254143646409
31,mani,1,0.2762430939226519,357,98.61878453038673
32,espinaca,1,0.2762430939226519,358,98.89502762430939
33,cundeamor chino,1,0.2762430939226519,359,99.17127071823204
34,cilantro verde,1,0.2762430939226519,360,99.4475138121547
35,caña(no de azucar),1,0.2762430939226519,361,99.72375690607734
36,berenjenas chinas,1,0.2762430939226519,362,100.0
