,patca_x,trends_x,count,percent,cumulative_count,cumulative_percent
0,0,trend,230,61.0079575596817,230,61.0079575596817
1,1,trend,109,28.912466843501328,339,89.92042440318302
2,1,no trend,20,5.305039787798409,359,95.22546419098144
3,0,no trend,18,4.774535809018567,377,100.0
